"행정구역별(1)",행정구역별(2),2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
"행정구역별(1)",행정구역별(2),당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격,당해년가격,2015년 기준년가격
"부산광역시",소계,-,-,-,-,-,-,-,-,-,-,82701497,82701497,85536348,84114530,87835601,85441974,89979896,86889875,93012134,89105372,91286486,85962709
"부산광역시",중구,-,-,-,-,-,-,-,-,-,-,3106284,3106284,3269729,3270197,3102572,3121840,2973236,3161746,3119522,3352848,3551831,3770781
"부산광역시",서구,-,-,-,-,-,-,-,-,-,-,3039215,3039215,3131976,3136058,3155204,3122220,3287309,2922494,2977265,2664817,3414621,3031302
"부산광역시",동구,-,-,-,-,-,-,-,-,-,-,4203262,4203262,4210995,4106300,4731722,4423362,4552679,4209432,4768625,4264091,4098015,3535620
"부산광역시",영도구,-,-,-,-,-,-,-,-,-,-,2123839,2123839,2373113,2345750,2540393,2435024,2642385,2530950,2731839,2605989,2762062,2568931
"부산광역시",부산진구,-,-,-,-,-,-,-,-,-,-,7185291,7185291,7757805,7627274,8192376,7876844,8516260,8236840,8886673,8512852,8640684,8161304
"부산광역시",동래구,-,-,-,-,-,-,-,-,-,-,3650774,3650774,3793172,3705988,3934188,3767159,4063079,3854616,4097686,3837818,3989457,3687416
"부산광역시",남구,-,-,-,-,-,-,-,-,-,-,5314016,5314016,5286229,5453376,5772151,5890530,5708284,5871329,5649213,5865608,6155947,6390904
"부산광역시",북구,-,-,-,-,-,-,-,-,-,-,2856278,2856278,2981371,2906502,3013728,2886447,3125859,2945297,3116148,2900870,3031318,2788546
"부산광역시",해운대구,-,-,-,-,-,-,-,-,-,-,7083307,7083307,7434863,7248718,8277548,7841800,8845460,8258812,9503602,8778923,9128828,8301391
"부산광역시",사하구,-,-,-,-,-,-,-,-,-,-,6538217,6538217,6886885,6747783,6985761,6905085,6900352,6652990,7190129,6887485,7040858,6632411
"부산광역시",금정구,-,-,-,-,-,-,-,-,-,-,4332302,4332302,4350242,4238552,4619023,4431662,4492619,4250349,4626781,4315413,4367027,3999605
"부산광역시",강서구,-,-,-,-,-,-,-,-,-,-,12953821,12953821,12944025,12833628,12637730,12469117,13354327,13127308,14481984,14136021,13426281,12786715
"부산광역시",연제구,-,-,-,-,-,-,-,-,-,-,5605244,5605244,6121841,5965798,6455583,6120792,6744687,6476820,6880899,6520681,6323236,5875020
"부산광역시",수영구,-,-,-,-,-,-,-,-,-,-,2361267,2361267,2425284,2394832,2555115,2461005,2575439,2422673,2789695,2603116,2770947,2559666
"부산광역시",사상구,-,-,-,-,-,-,-,-,-,-,7090343,7090343,7008698,6825286,6750783,6551934,6760826,6447497,6567881,6248895,6216501,5874274
"부산광역시",기장군,-,-,-,-,-,-,-,-,-,-,5258037,5258037,5560120,5308488,5111724,5148253,5437095,5530633,5624192,5660392,6368873,6206758
"대구광역시",소계,-,-,-,-,-,-,-,-,-,-,51822013,51822013,53167211,51823902,54832958,52721214,56714479,53964991,58094694,54762237,57725389,53668577
"대구광역시",중구,-,-,-,-,-,-,-,-,-,-,5027892,5027892,5129208,5048750,5238995,5041902,5426313,5145715,5374655,5070603,5409289,5045308
"대구광역시",동구,-,-,-,-,-,-,-,-,-,-,6376313,6376313,6266494,6120449,7086698,6818653,7036716,6723325,7671520,7338331,7583912,7137840
"대구광역시",서구,-,-,-,-,-,-,-,-,-,-,3206379,3206379,3390758,3274495,3479958,3373284,3514231,3379325,3591916,3404971,3852826,3602371
"대구광역시",남구,-,-,-,-,-,-,-,-,-,-,2336750,2336750,2383509,2338426,2729404,2624437,2947000,2787943,3219019,3009831,3099186,2849126
"대구광역시",북구,-,-,-,-,-,-,-,-,-,-,9787970,9787970,9857246,9622149,10207588,9767546,10863537,10272214,10578872,9884231,10468227,9592719
"대구광역시",수성구,-,-,-,-,-,-,-,-,-,-,6955681,6955681,7430232,7278264,7364608,7035016,7716974,7228936,8134646,7544102,8389760,7664486
"대구광역시",달서구,-,-,-,-,-,-,-,-,-,-,11014202,11014202,11277453,10963071,11388929,10995266,11620034,11159079,12090472,11498434,11708977,10995447
"대구광역시",달성군,-,-,-,-,-,-,-,-,-,-,7116825,7116825,7432311,7178298,7336778,7067326,7589674,7268108,7433594,7012118,7213212,6777146
"인천광역시",소계,-,-,-,-,-,-,-,-,-,-,80137506,80137506,84663335,82257112,88547364,85791563,88735401,86426825,90040500,87963593,89615465,84907539
"인천광역시",중구,-,-,-,-,-,-,-,-,-,-,13455131,13455131,14426713,13833437,14508857,14139298,14559776,14719739,14798640,15459848,12181626,10456211
"인천광역시",동구,-,-,-,-,-,-,-,-,-,-,3143586,3143586,3131607,3036810,3462433,3360544,3499343,3367432,3470143,3317730,3656940,3492133
"인천광역시",미추홀구,-,-,-,-,-,-,-,-,-,-,6412989,6412989,6653343,6527077,6966050,6737623,6976354,6733129,7129517,6848536,7697533,7314486
"인천광역시",연수구,-,-,-,-,-,-,-,-,-,-,9058324,9058324,9640099,9446321,10536805,10017021,11300722,10672529,11861076,11234514,11845543,11114691
"인천광역시",남동구,-,-,-,-,-,-,-,-,-,-,15137036,15137036,15503392,15158934,16342258,15701016,16079177,15289650,16240920,15388198,16456077,15556773
"인천광역시",부평구,-,-,-,-,-,-,-,-,-,-,9654629,9654629,10380786,10097270,10677427,10305634,10495350,10103096,10352522,9879875,10681732,10170149
"인천광역시",계양구,-,-,-,-,-,-,-,-,-,-,4119440,4119440,4235268,4129769,4504251,4322874,4530580,4308134,4913797,4659269,4830032,4575306
"인천광역시",서구,-,-,-,-,-,-,-,-,-,-,17306008,17306008,18659906,18035555,19391995,19140146,18950490,19025804,18842726,18893553,19760013,19127518
"인천광역시",강화군,-,-,-,-,-,-,-,-,-,-,1254585,1254585,1356992,1331855,1456312,1403270,1649168,1556523,1710277,1608537,1628866,1537648
"인천광역시",옹진군,-,-,-,-,-,-,-,-,-,-,595780,595780,675228,660082,700977,665709,694440,645056,720882,662112,877102,816205
"광주광역시",소계,27882311,30457831,28678421,31011787,29773635,31650181,31263021,32859385,33016736,34169569,34845589,34845589,36819006,35933462,37743917,36384616,39805406,38216077,41519553,39624032,42068384,39530642
"광주광역시",동구,2634954,2826175,2741917,2894465,2903383,3027013,2859086,2985385,3036322,3112946,3003018,3003018,3261257,3207496,3510144,3375351,3728901,3539280,3650708,3451784,3618618,3387681
"광주광역시",서구,6161934,6798103,6720160,7356543,6858336,7367912,7103748,7518927,7644104,7934783,8709905,8709905,9554545,9271296,9328293,9002320,10096608,9737764,10587701,10009373,10465189,9751390
"광주광역시",남구,2248309,2449145,2285322,2472060,2424687,2575816,2476974,2611161,2786612,2868636,2814024,2814024,2836235,2786172,2906857,2807640,3127038,2990612,3302379,3131393,3237215,3024434
"광주광역시",북구,7278168,7859945,7311404,7845105,7624031,8055574,8175230,8540302,8503741,8775801,8669015,8669015,9149277,8967566,9564923,9104798,9955766,9423346,10459568,10036355,10745223,10182132
"광주광역시",광산구,9558946,10517776,9619618,10440718,9963198,10616921,10647983,11197504,11045957,11472815,11649626,11649626,12017691,11700932,12433700,12097138,12897093,12528389,13519198,12996830,14002138,13192664
"대전광역시",소계,-,-,-,-,-,-,-,-,-,-,37162614,37162614,39335023,38456557,40537224,38772485,41308348,39135729,43092218,40684092,44393136,41208249
"대전광역시",동구,-,-,-,-,-,-,-,-,-,-,3062106,3062106,3316367,3238692,3360270,3238191,3503333,3332074,3686416,3461178,3691248,3411721
"대전광역시",중구,-,-,-,-,-,-,-,-,-,-,4305462,4305462,4600637,4539028,4737424,4608251,4902752,4786731,5085859,4969267,4928620,4706689
"대전광역시",서구,-,-,-,-,-,-,-,-,-,-,10677653,10677653,11116724,10906221,11743369,11267523,12044862,11380079,12714786,11942767,12716392,11807578
"대전광역시",유성구,-,-,-,-,-,-,-,-,-,-,11457701,11457701,12300508,12023289,12996543,12163814,13577362,12612401,14019944,13063462,15343406,14027436
"대전광역시",대덕구,-,-,-,-,-,-,-,-,-,-,7659692,7659692,8000787,7749327,7699618,7498908,7280039,7014147,7585213,7236221,7713470,7222836
"울산광역시",소계,-,-,-,-,-,-,-,-,-,-,72854409,72854409,74660841,73477668,75750070,72968962,73647537,71344390,74654628,72024599,69363394,67136435
"울산광역시",중구,-,-,-,-,-,-,-,-,-,-,3987857,3987857,4546377,4434183,4227727,4107466,4292144,4190641,4870330,4645647,4609103,4300831
"울산광역시",남구,-,-,-,-,-,-,-,-,-,-,28394201,28394201,29288463,28835114,30572758,29164342,30758240,29290523,28681406,27987533,26062154,26076120
"울산광역시",동구,-,-,-,-,-,-,-,-,-,-,10090065,10090065,10329372,10494924,10444265,10233641,9408781,8924547,8443353,8066831,7577899,6724571
"울산광역시",북구,-,-,-,-,-,-,-,-,-,-,11200836,11200836,11176434,10628641,10684801,10456214,10724314,10632408,13962650,13056258,13176984,12249616
"울산광역시",울주군,-,-,-,-,-,-,-,-,-,-,19181449,19181449,19320196,19084806,19820519,19007912,18464057,18290209,18696889,18310871,17937255,17799560
"경기도",소계,278532130,300716256,292825058,313748238,311414578,327820620,333380088,346430719,351734517,362159526,381978306,381978306,407437529,399827962,451426420,426172886,479822189,451914662,477413452,462288338,491298336,470022670
"경기도",수원시,22051284,23881178,23140143,24826899,25681173,26972346,27177505,28230186,28863090,29556489,30963276,30963276,31802827,31188232,33949983,32072803,35441134,33040655,36621012,34484604,33039311,30753882
"경기도",성남시,22908827,24827712,24782929,26622381,26763399,28289941,30132069,31416428,33501320,34516252,37687633,37687633,39561196,38847300,40981113,38988602,42307526,39870181,44085982,41967488,46784997,43815319
"경기도",의정부시,4465522,4882074,4711770,5107174,5123477,5442845,5286251,5558333,5118136,5266430,5560895,5560895,6218546,6085900,6930126,6647581,7350069,6958749,7473255,6997227,7326448,6747928
"경기도",안양시,12659511,13507402,12945976,13704934,13593469,14185406,14734671,15325082,14844092,15275172,15525029,15525029,16244293,15962529,17272844,16520904,18138376,17243039,18953542,18211619,17825677,16885535
"경기도",부천시,13095408,13911029,13611987,14354762,14037788,14635261,14824734,15394548,14914972,15348378,15833160,15833160,16514511,16219163,16957907,16284267,17462247,16646782,17561534,16875601,17881348,16968307
"경기도",광명시,5953996,6913539,5774393,6826992,6857359,7658405,6713764,7288567,6433216,6586232,7011796,7011796,7366541,7284209,7569890,7466428,8116318,8208629,7756108,7822633,7961842,7831458
"경기도",평택시,19325806,20595258,20438838,21737119,21484733,22438645,22982434,23610391,23937157,24663345,24535672,24535672,26501831,26067338,30872853,28695467,33792725,31561750,32021073,31405505,31581914,30607224
