연월,시도,전월세전환율,연도,월
2012-12,대전,7.1,2012,12
2012-12,부산,6.7,2012,12
2012-12,서울,6.7,2012,12
2012-12,세종,8.0,2012,12
2012-12,울산,7.4,2012,12
2012-12,인천,8.3,2012,12
2012-12,전남,10.5,2012,12
2012-12,전북,8.0,2012,12
2012-12,제주,7.8,2012,12
2012-12,충남,9.4,2012,12
2012-12,충북,8.7,2012,12
2013-01,강원,9.9,2013,1
2013-01,경기,7.7,2013,1
2013-01,경남,7.5,2013,1
2013-01,경북,10.0,2013,1
2013-01,광주,7.5,2013,1
2013-01,대구,6.6,2013,1
2013-01,대전,7.1,2013,1
2013-01,부산,6.7,2013,1
2013-01,서울,6.7,2013,1
2013-01,세종,8.0,2013,1
2013-01,울산,7.2,2013,1
2013-01,인천,8.3,2013,1
2013-01,전남,10.4,2013,1
2013-01,전북,7.9,2013,1
2013-01,제주,8.0,2013,1
2013-01,충남,9.4,2013,1
2013-01,충북,7.9,2013,1
2013-02,강원,9.8,2013,2
2013-02,경기,7.6,2013,2
2013-02,경남,7.5,2013,2
2013-02,경북,10.4,2013,2
2013-02,광주,7.6,2013,2
2013-02,대구,6.5,2013,2
2013-02,대전,7.0,2013,2
2013-02,부산,6.7,2013,2
2013-02,서울,6.7,2013,2
2013-02,세종,8.0,2013,2
2013-02,울산,7.4,2013,2
2013-02,인천,8.3,2013,2
2013-02,전남,10.5,2013,2
2013-02,전북,8.0,2013,2
2013-02,제주,7.8,2013,2
2013-02,충남,9.2,2013,2
2013-02,충북,8.2,2013,2
2013-03,강원,9.8,2013,3
2013-03,경기,7.5,2013,3
2013-03,경남,7.3,2013,3
2013-03,경북,10.3,2013,3
2013-03,광주,7.6,2013,3
2013-03,대구,6.4,2013,3
2013-03,대전,7.0,2013,3
2013-03,부산,6.5,2013,3
2013-03,서울,6.6,2013,3
2013-03,세종,7.8,2013,3
2013-03,울산,7.3,2013,3
2013-03,인천,8.3,2013,3
2013-03,전남,10.0,2013,3
2013-03,전북,7.7,2013,3
2013-03,제주,7.8,2013,3
2013-03,충남,9.0,2013,3
2013-03,충북,9.2,2013,3
2013-04,강원,10.0,2013,4
2013-04,경기,7.4,2013,4
2013-04,경남,7.3,2013,4
2013-04,경북,10.3,2013,4
2013-04,광주,7.5,2013,4
2013-04,대구,6.4,2013,4
2013-04,대전,6.9,2013,4
2013-04,부산,6.5,2013,4
2013-04,서울,6.6,2013,4
2013-04,세종,7.6,2013,4
2013-04,울산,7.1,2013,4
2013-04,인천,8.2,2013,4
2013-04,전남,10.4,2013,4
2013-04,전북,7.8,2013,4
2013-04,제주,7.7,2013,4
2013-04,충남,8.9,2013,4
2013-04,충북,9.6,2013,4
2013-05,강원,9.6,2013,5
2013-05,경기,7.4,2013,5
2013-05,경남,7.3,2013,5
2013-05,경북,10.3,2013,5
2013-05,광주,7.5,2013,5
2013-05,대구,6.4,2013,5
2013-05,대전,6.9,2013,5
2013-05,부산,6.5,2013,5
2013-05,서울,6.6,2013,5
2013-05,세종,7.2,2013,5
2013-05,울산,7.0,2013,5
2013-05,인천,8.0,2013,5
2013-05,전남,10.8,2013,5
2013-05,전북,7.6,2013,5
2013-05,제주,7.9,2013,5
2013-05,충남,8.6,2013,5
2013-05,충북,9.5,2013,5
2013-06,강원,9.6,2013,6
2013-06,경기,7.3,2013,6
2013-06,경남,7.2,2013,6
2013-06,경북,10.3,2013,6
2013-06,광주,7.5,2013,6
2013-06,대구,6.3,2013,6
2013-06,대전,6.9,2013,6
2013-06,부산,6.4,2013,6
2013-06,서울,6.5,2013,6
2013-06,세종,7.0,2013,6
2013-06,울산,7.1,2013,6
2013-06,인천,8.0,2013,6
2013-06,전남,11.2,2013,6
2013-06,전북,8.0,2013,6
2013-06,제주,7.8,2013,6
2013-06,충남,8.6,2013,6
2013-06,충북,9.5,2013,6
2013-07,강원,9.5,2013,7
2013-07,경기,7.3,2013,7
2013-07,경남,7.3,2013,7
2013-07,경북,10.0,2013,7
2013-07,광주,7.4,2013,7
2013-07,대구,6.3,2013,7
2013-07,대전,6.9,2013,7
2013-07,부산,6.3,2013,7
2013-07,서울,6.5,2013,7
2013-07,세종,7.2,2013,7
2013-07,울산,7.2,2013,7
2013-07,인천,8.0,2013,7
2013-07,전남,11.1,2013,7
2013-07,전북,8.0,2013,7
2013-07,제주,8.1,2013,7
2013-07,충남,8.6,2013,7
2013-07,충북,9.0,2013,7
2013-08,강원,9.4,2013,8
2013-08,경기,7.2,2013,8
2013-08,경남,7.3,2013,8
2013-08,경북,9.7,2013,8
2013-08,광주,7.3,2013,8
2013-08,대구,6.2,2013,8
2013-08,대전,6.7,2013,8
2013-08,부산,6.2,2013,8
2013-08,서울,6.4,2013,8
2013-08,세종,7.1,2013,8
2013-08,울산,7.2,2013,8
2013-08,인천,7.8,2013,8
2013-08,전남,10.2,2013,8
2013-08,전북,7.4,2013,8
2013-08,제주,8.1,2013,8
2013-08,충남,8.6,2013,8
2013-08,충북,9.0,2013,8
2013-09,강원,9.4,2013,9
2013-09,경기,7.2,2013,9
2013-09,경남,7.2,2013,9
2013-09,경북,9.8,2013,9
2013-09,광주,7.2,2013,9
2013-09,대구,6.1,2013,9
2013-09,대전,6.7,2013,9
2013-09,부산,6.2,2013,9
2013-09,서울,6.4,2013,9
2013-09,세종,7.0,2013,9
2013-09,울산,7.2,2013,9
2013-09,인천,7.8,2013,9
2013-09,전남,10.1,2013,9
2013-09,전북,7.4,2013,9
2013-09,제주,7.6,2013,9
2013-09,충남,8.6,2013,9
2013-09,충북,8.9,2013,9
2013-10,강원,9.2,2013,10
2013-10,경기,7.1,2013,10
2013-10,경남,7.2,2013,10
2013-10,경북,9.3,2013,10
2013-10,광주,7.1,2013,10
2013-10,대구,6.0,2013,10
2013-10,대전,6.7,2013,10
2013-10,부산,6.1,2013,10
2013-10,서울,6.3,2013,10
2013-10,세종,7.2,2013,10
2013-10,울산,7.2,2013,10
2013-10,인천,7.7,2013,10
2013-10,전남,9.6,2013,10
2013-10,전북,7.2,2013,10
2013-10,제주,7.5,2013,10
2013-10,충남,8.6,2013,10
2013-10,충북,8.1,2013,10
2013-11,강원,9.2,2013,11
2013-11,경기,7.0,2013,11
2013-11,경남,7.2,2013,11
2013-11,경북,9.3,2013,11
2013-11,광주,7.1,2013,11
2013-11,대구,6.0,2013,11
2013-11,대전,6.6,2013,11
2013-11,부산,6.0,2013,11
2013-11,서울,6.2,2013,11
2013-11,세종,7.0,2013,11
2013-11,울산,7.2,2013,11
2013-11,인천,7.5,2013,11
2013-11,전남,9.6,2013,11
2013-11,전북,7.2,2013,11
2013-11,제주,7.5,2013,11
2013-11,충남,8.6,2013,11
2013-11,충북,8.1,2013,11
2013-12,강원,9.3,2013,12
2013-12,경기,6.9,2013,12
2013-12,경남,7.1,2013,12
2013-12,경북,9.7,2013,12
2013-12,광주,7.1,2013,12
2013-12,대구,6.0,2013,12
2013-12,대전,6.5,2013,12
2013-12,부산,6.0,2013,12
2013-12,서울,6.1,2013,12
2013-12,세종,6.8,2013,12
2013-12,울산,7.1,2013,12
2013-12,인천,7.5,2013,12
2013-12,전남,9.6,2013,12
2013-12,전북,7.1,2013,12
2013-12,제주,7.5,2013,12
2013-12,충남,8.4,2013,12
2013-12,충북,8.2,2013,12
2014-01,강원,9.3,2014,1
2014-01,경기,6.8,2014,1
2014-01,경남,7.0,2014,1
2014-01,경북,9.9,2014,1
2014-01,광주,7.1,2014,1
2014-01,대구,6.0,2014,1
2014-01,대전,6.5,2014,1
2014-01,부산,6.0,2014,1
2014-01,서울,6.0,2014,1
2014-01,세종,6.4,2014,1
2014-01,울산,6.9,2014,1
2014-01,인천,7.4,2014,1
2014-01,전남,9.7,2014,1
2014-01,전북,7.3,2014,1
2014-01,제주,7.2,2014,1
2014-01,충남,8.6,2014,1
2014-01,충북,8.2,2014,1
2014-02,강원,9.0,2014,2
2014-02,경기,6.6,2014,2
2014-02,경남,7.0,2014,2
2014-02,경북,9.2,2014,2
2014-02,광주,7.1,2014,2
2014-02,대구,5.8,2014,2
2014-02,대전,6.3,2014,2
2014-02,부산,6.0,2014,2
2014-02,서울,6.0,2014,2
2014-02,세종,6.0,2014,2
2014-02,울산,6.8,2014,2
2014-02,인천,7.2,2014,2
2014-02,전남,9.9,2014,2
2014-02,전북,7.7,2014,2
2014-02,제주,7.1,2014,2
2014-02,충남,8.0,2014,2
2014-02,충북,8.4,2014,2
2014-03,강원,9.2,2014,3
2014-03,경기,6.5,2014,3
2014-03,경남,7.0,2014,3
2014-03,경북,8.8,2014,3
2014-03,광주,7.0,2014,3
2014-03,대구,5.8,2014,3
2014-03,대전,6.2,2014,3
2014-03,부산,6.0,2014,3
2014-03,서울,5.9,2014,3
2014-03,세종,6.0,2014,3
2014-03,울산,6.5,2014,3
2014-03,인천,7.2,2014,3
2014-03,전남,10.0,2014,3
2014-03,전북,7.6,2014,3
2014-03,제주,6.9,2014,3
2014-03,충남,8.0,2014,3
2014-03,충북,8.7,2014,3
2014-04,강원,9.2,2014,4
2014-04,경기,6.4,2014,4
2014-04,경남,7.0,2014,4
2014-04,경북,8.6,2014,4
2014-04,광주,6.9,2014,4
2014-04,대구,5.8,2014,4
2014-04,대전,6.2,2014,4
2014-04,부산,6.0,2014,4
2014-04,서울,5.9,2014,4
