지역코드,연월,NPS_가입자수,NPS_고지금액합계,NPS_사업장수,NPS_1인당고지금액,NPS_고용증감,시도,연도,월
31200,2015-11,27037,6571479440,1132,243055.05196582462,87,울산,2015,11
31710,2015-11,53420,13712293540,2523,256688.38524897041,68,울산,2015,11
36110,2015-11,33974,8070299640,1976,237543.40495673163,357,세종,2015,11
41111,2015-11,23351,5096941100,952,218275.0674489315,166,경기,2015,11
41113,2015-11,32991,6928172500,1988,210001.89445606378,179,경기,2015,11
41115,2015-11,22455,4439734760,1256,197716.97884658206,-162,경기,2015,11
41117,2015-11,144545,48317557160,2017,334273.45919955726,-346,경기,2015,11
41131,2015-11,18249,3700409740,1246,202773.28839936436,-37,경기,2015,11
41133,2015-11,48013,11123464540,2435,231676.09897319475,-544,경기,2015,11
41135,2015-11,176897,48487825460,5171,274102.02241982624,366,경기,2015,11
41150,2015-11,21424,3978702460,1612,185712.4001120239,107,경기,2015,11
41171,2015-11,25913,5557633620,1306,214472.79820939296,100,경기,2015,11
41173,2015-11,73174,17722850160,4047,242201.46718779893,342,경기,2015,11
41190,2015-11,74350,15337882900,5083,206292.97780766644,72,경기,2015,11
41195,2015-11,1896,313066560,165,165119.49367088606,1,경기,2015,11
41197,2015-11,680,135414880,81,199139.5294117647,7,경기,2015,11
41199,2015-11,906,205676360,54,227015.84988962472,14,경기,2015,11
41210,2015-11,31667,7314405060,1604,230978.78106546248,-14,경기,2015,11
41220,2015-11,101182,25882046480,4232,255796.9449111502,389,경기,2015,11
41250,2015-11,7824,1444230180,441,184589.74693251535,59,경기,2015,11
41271,2015-11,19487,3902395600,1541,200256.355519064,82,경기,2015,11
41273,2015-11,118599,28795110100,5109,242793.86925690772,477,경기,2015,11
41281,2015-11,24439,4677135980,2177,191380.00654691271,231,경기,2015,11
41283,2015-11,6,963140,2,160523.33333333334,0,경기,2015,11
41285,2015-11,41170,8694431600,3332,211183.66771921303,266,경기,2015,11
41287,2015-11,14979,2935077620,1223,195946.1659656853,81,경기,2015,11
41290,2015-11,20194,4809301300,577,238154.96186986234,-88,경기,2015,11
41310,2015-11,12686,2443392640,1168,192605.44221976981,-11,경기,2015,11
41360,2015-11,43914,8538549060,3976,194437.9710342943,522,경기,2015,11
41370,2015-11,18743,3850170860,1139,205419.13567731954,97,경기,2015,11
41390,2015-11,83601,19596956920,5465,234410.55633305822,270,경기,2015,11
41410,2015-11,34454,7471258860,2176,216847.35763626866,44,경기,2015,11
41430,2015-11,15569,3414459680,1184,219311.4316911812,113,경기,2015,11
41450,2015-11,24729,5032048900,2374,203487.76335476566,141,경기,2015,11
41461,2015-11,53932,12105353100,2686,224455.8536675814,-24,경기,2015,11
41463,2015-11,80485,23010879080,2556,285902.7033608747,-26,경기,2015,11
41465,2015-11,22081,5067972880,1206,229517.36243829536,38,경기,2015,11
41480,2015-11,63904,13503075760,3992,211302.51251877818,367,경기,2015,11
41500,2015-11,56753,16048762640,1900,282782.6306979367,-22,경기,2015,11
41550,2015-11,41319,9263860800,2108,224203.4124736804,339,경기,2015,11
41570,2015-11,58520,12589547160,4704,215132.3848257006,136,경기,2015,11
41590,2015-11,191513,47970903600,10185,250483.79796671766,1056,경기,2015,11
41592,2015-11,18,5211860,4,289547.77777777775,0,경기,2015,11
41610,2015-11,49975,10700737800,3708,214121.81690845423,194,경기,2015,11
41630,2015-11,27448,5462441360,2016,199010.54211600116,258,경기,2015,11
41650,2015-11,30939,6127989580,2216,198066.82762855943,202,경기,2015,11
41670,2015-11,15209,3078848160,1007,202435.9366164771,114,경기,2015,11
41800,2015-11,4324,813415220,411,188116.3783533765,-8,경기,2015,11
41820,2015-11,6523,1277372420,505,195825.91139046452,-85,경기,2015,11
41830,2015-11,7507,1398746300,685,186325.6027707473,141,경기,2015,11
42110,2015-11,33669,6207775600,1931,184376.5956814874,147,강원,2015,11
42130,2015-11,57051,13625375020,2600,238827.97882596272,-129,강원,2015,11
42150,2015-11,21691,4124633220,1523,190154.12936240836,26,강원,2015,11
42170,2015-11,8568,1866598040,612,217856.91409897292,40,강원,2015,11
42190,2015-11,4913,981535940,355,199783.41949928761,5,강원,2015,11
42210,2015-11,6038,1004184260,468,166310.74196753892,96,강원,2015,11
42230,2015-11,11193,2872561060,651,256639.06548735817,-3,강원,2015,11
42720,2015-11,9324,1880899280,620,201726.6495066495,117,강원,2015,11
42730,2015-11,7171,1421515160,463,198231.0918979222,62,강원,2015,11
42750,2015-11,4305,835433340,394,194061.17073170733,-48,강원,2015,11
42760,2015-11,6393,1227541900,514,192013.4365712498,-84,강원,2015,11
42770,2015-11,8505,2063801880,390,242657.4814814815,121,강원,2015,11
42780,2015-11,3539,607873440,336,171764.18197230855,-5,강원,2015,11
42790,2015-11,1983,319383120,250,161060.57488653556,13,강원,2015,11
42800,2015-11,2013,322135560,226,160027.60059612518,-59,강원,2015,11
42810,2015-11,2867,489335220,360,170678.48622253226,13,강원,2015,11
42820,2015-11,4580,858877720,299,187527.8864628821,45,강원,2015,11
42830,2015-11,2528,443386820,265,175390.35601265822,-22,강원,2015,11
43111,2015-11,13264,2540616200,1023,191542.23462002413,-300,충북,2015,11
43112,2015-11,19208,3719841940,1358,193661.0755935027,90,충북,2015,11
43113,2015-11,53348,12440375120,2119,233192.905451001,492,충북,2015,11
43114,2015-11,31459,6499296020,1862,206595.7601958104,53,충북,2015,11
43130,2015-11,25281,5182591300,1619,204999.45809105653,301,충북,2015,11
43150,2015-11,13455,2505473700,1040,186211.34894091415,184,충북,2015,11
43710,2015-11,56,9319260,2,166415.35714285713,-4,충북,2015,11
43720,2015-11,5174,1132792140,361,218939.33900270585,9,충북,2015,11
43730,2015-11,7503,1493214000,599,199015.593762495,61,충북,2015,11
43740,2015-11,4618,876320280,435,189761.86227804245,48,충북,2015,11
43745,2015-11,3928,785663020,253,200016.04378818738,8,충북,2015,11
43750,2015-11,26053,6165499440,1121,236652.18746401567,278,충북,2015,11
43760,2015-11,5843,1187866200,437,203297.31302413144,14,충북,2015,11
43770,2015-11,39582,9147971960,1786,231114.44494972462,309,충북,2015,11
43800,2015-11,3549,645251000,336,181812.05973513666,55,충북,2015,11
44131,2015-11,36903,8031125280,1987,217627.9782131534,46,충남,2015,11
44133,2015-11,74944,18035968660,2992,240659.27439154568,277,충남,2015,11
44150,2015-11,19284,4373027000,1005,226769.70545529973,104,충남,2015,11
44180,2015-11,14602,3496191600,900,239432.3791261471,-47,충남,2015,11
44200,2015-11,65872,16452746460,2810,249768.43666504737,258,충남,2015,11
44210,2015-11,28932,7834686600,1218,270796.5781833264,257,충남,2015,11
44230,2015-11,14664,2852976320,1015,194556.48663393344,38,충남,2015,11
44250,2015-11,3205,546118040,235,170395.64430577224,-63,충남,2015,11
44270,2015-11,39787,10961467000,1677,275503.7323748963,-130,충남,2015,11
44710,2015-11,10979,2509684080,741,228589.49631113946,118,충남,2015,11
44730,2015-11,6,1583520,1,263920.0,-1,충남,2015,11
44760,2015-11,6653,1342300300,541,201758.6502329776,-133,충남,2015,11
44770,2015-11,5911,1187692140,437,200929.1388935882,61,충남,2015,11
44790,2015-11,3868,750818680,315,194110.31023784901,93,충남,2015,11
44800,2015-11,10413,2054187920,819,197271.47988091808,40,충남,2015,11
44810,2015-11,12101,2630968860,743,217417.47458887694,159,충남,2015,11
44825,2015-11,9146,2390856940,533,261410.1180844085,157,충남,2015,11
44830,2015-11,60,15262620,1,254377.0,0,충남,2015,11
45111,2015-11,25342,4466319340,2029,176241.78596795833,-5,전북,2015,11
45113,2015-11,40224,8810264020,2185,219030.03231901352,-196,전북,2015,11
45130,2015-11,37289,8445224160,2155,226480.30679288798,-76,전북,2015,11
45140,2015-11,36800,7191119920,1984,195410.86739130435,-55,전북,2015,11
45180,2015-11,11686,2147622380,889,183777.37292486738,42,전북,2015,11
45190,2015-11,8238,1432710660,711,173914.8652585579,4,전북,2015,11
45210,2015-11,11962,2336128020,886,195295.77161009866,164,전북,2015,11
45710,2015-11,22431,4830819800,1098,215363.55044358253,-47,전북,2015,11
45720,2015-11,2792,472943580,290,169392.39971346705,12,전북,2015,11
45730,2015-11,2434,426255440,276,175125.4889071487,14,전북,2015,11
45740,2015-11,2311,387443540,260,167651.8996105582,-10,전북,2015,11
45750,2015-11,3092,510775780,311,165192.68434670116,-35,전북,2015,11
45770,2015-11,2851,489609720,279,171732.627148369,-17,전북,2015,11
45790,2015-11,5042,913883400,468,181254.14518048393,3,전북,2015,11
45800,2015-11,4830,862785800,414,178630.60041407868,-51,전북,2015,11
46110,2015-11,17001,2962424880,1364,174250.03705664372,3,전남,2015,11
46130,2015-11,38539,9337361580,2311,242283.4422273541,124,전남,2015,11
46150,2015-11,22416,4275717280,1696,190743.99000713776,225,전남,2015,11
46170,2015-11,54672,16123931320,1396,294921.19037167105,-178,전남,2015,11
46230,2015-11,26574,6417971140,1454,241513.17603672761,170,전남,2015,11
46710,2015-11,7709,1428029180,714,185241.81865352186,1,전남,2015,11
46720,2015-11,3436,603860760,323,175745.27357392316,0,전남,2015,11
46730,2015-11,2627,434098100,226,165244.80395888846,15,전남,2015,11
46770,2015-11,5021,850560020,503,169400.5218084047,-14,전남,2015,11
46780,2015-11,3946,681570780,374,172724.47541814495,9,전남,2015,11
46790,2015-11,9830,1975638260,739,200980.494404883,39,전남,2015,11
46800,2015-11,3454,574073900,328,166205.52982049796,17,전남,2015,11
46810,2015-11,3226,572815040,352,177562.00867947924,26,전남,2015,11
46820,2015-11,6896,1335547680,559,193669.9071925754,47,전남,2015,11
46830,2015-11,23738,5597661800,1043,235810.16934872358,247,전남,2015,11
46840,2015-11,8048,1423584540,695,176886.74701789263,-1,전남,2015,11
46860,2015-11,4024,726463460,372,180532.6689860835,-21,전남,2015,11
46870,2015-11,6032,1080738420,582,179167.5099469496,-20,전남,2015,11
46880,2015-11,8587,1611263540,758,187639.86724117852,7,전남,2015,11
46890,2015-11,3871,642470600,442,165970.18858176182,-21,전남,2015,11
46900,2015-11,2209,369020160,239,167053.0375735627,54,전남,2015,11
46910,2015-11,2884,489459600,301,169715.53398058252,11,전남,2015,11
47111,2015-11,73185,21893064600,1971,299146.8825579012,-178,경북,2015,11
47113,2015-11,18539,3698967700,1253,199523.58271751442,-4,경북,2015,11
47130,2015-11,59214,15376993700,2334,259685.10318505758,-394,경북,2015,11
47150,2015-11,26788,6938372160,1017,259010.45841421533,61,경북,2015,11
47170,2015-11,16730,3096312400,1202,185075.45726240287,-14,경북,2015,11
47190,2015-11,76867,17901678260,3135,232891.59535301235,-221,경북,2015,11
47210,2015-11,9105,1799312020,645,197618.0142778693,-36,경북,2015,11
47230,2015-11,18524,4101193880,1097,221398.9354351112,156,경북,2015,11
47250,2015-11,8220,1523705900,693,185365.6812652068,10,경북,2015,11
47280,2015-11,6945,1300579280,497,187268.43484521238,-55,경북,2015,11
47290,2015-11,40497,8487339980,1980,209579.47452897744,125,경북,2015,11
47720,2015-11,3242,620961520,305,191536.55768044418,8,경북,2015,11
47730,2015-11,4461,787413880,480,176510.62093700963,-33,경북,2015,11
47750,2015-11,2009,344048360,238,171253.53907416624,22,경북,2015,11
47760,2015-11,1318,213726460,156,162159.6813353566,2,경북,2015,11
47770,2015-11,2972,550702660,300,185296.99192462987,31,경북,2015,11
47820,2015-11,4515,857579340,367,189940.05315614617,53,경북,2015,11
47830,2015-11,6356,1354313020,512,213076.30899937067,-43,경북,2015,11
47840,2015-11,8342,1659352740,718,198915.456725006,38,경북,2015,11
47850,2015-11,23269,4804380240,1424,206471.28110361425,87,경북,2015,11
47900,2015-11,3296,596255620,325,180902.7973300971,5,경북,2015,11
47920,2015-11,2374,395500660,316,166596.73967986522,73,경북,2015,11
47930,2015-11,6119,1337587720,474,218595.80323582285,32,경북,2015,11
47940,2015-11,887,159426240,112,179736.4599774521,-27,경북,2015,11
48121,2015-11,43124,9453078180,2274,219206.89592802152,-23,경남,2015,11
48123,2015-11,76039,22329346120,1745,293656.49364142085,-75,경남,2015,11
48125,2015-11,15173,3152044000,916,207740.32821459172,-2,경남,2015,11
48127,2015-11,20758,4487078980,1048,216161.43077367762,110,경남,2015,11
48129,2015-11,15712,3717011360,836,236571.49694501018,-256,경남,2015,11
48170,2015-11,43954,10491459680,1940,238691.80688902034,61,경남,2015,11
48220,2015-11,11042,2333922300,720,211367.71418221336,-34,경남,2015,11
48240,2015-11,19875,4863408300,875,244699.78867924528,94,경남,2015,11
48250,2015-11,84151,18624350780,5031,221320.61151976805,357,경남,2015,11
48270,2015-11,11895,2384937800,840,200499.18453131567,36,경남,2015,11
48310,2015-11,67761,19501039040,1380,287791.4883192397,570,경남,2015,11
48330,2015-11,56073,13390169680,2426,238798.88145809926,142,경남,2015,11
48720,2015-11,3782,776028080,306,205189.86779481755,44,경남,2015,11
48730,2015-11,17795,4187505420,1124,235319.2143860635,-28,경남,2015,11
48740,2015-11,9049,1987036820,572,219586.3432423472,-55,경남,2015,11
48820,2015-11,7739,1621556860,565,209530.54141361933,42,경남,2015,11
48840,2015-11,3185,555180900,286,174311.11459968603,10,경남,2015,11
48850,2015-11,4087,777080200,412,190134.6219721067,6,경남,2015,11
48860,2015-11,3818,654954460,354,171543.86066003144,22,경남,2015,11
48870,2015-11,3638,641562100,376,176350.21990104453,-115,경남,2015,11
48880,2015-11,5302,943386180,495,177930.2489626556,-1,경남,2015,11
48890,2015-11,3831,647669660,437,169060.2088227617,-42,경남,2015,11
50110,2015-11,61093,11580949340,4343,189562.62321378881,354,제주,2015,11
50130,2015-11,18722,3775649220,1327,201669.11761563935,160,제주,2015,11
90100,2015-11,59,19548980,11,331338.6440677966,-1,,2015,11
11110,2016-11,218947,60979522160,4588,278512.7092858089,112,서울,2016,11
11140,2016-11,412422,113975251580,6260,276355.89658165665,2468,서울,2016,11
11170,2016-11,125860,28666442460,3513,227764.51978388685,-286,서울,2016,11
11200,2016-11,129303,28469003160,4778,220172.796918865,705,서울,2016,11
11215,2016-11,38959,7983497020,2210,204920.48101850663,286,서울,2016,11
11230,2016-11,42882,9030034780,2486,210578.67590131058,178,서울,2016,11
11260,2016-11,22386,4713666020,1244,210563.12070043778,-933,서울,2016,11
11290,2016-11,29343,5644794480,1672,192372.77987935793,524,서울,2016,11
11305,2016-11,11912,2291631140,846,192380.04869039624,-2,서울,2016,11
11320,2016-11,15172,2784005860,981,183496.2997627208,55,서울,2016,11
11350,2016-11,28118,5398372360,1705,191989.91251155845,-12,서울,2016,11
11380,2016-11,19625,3826137360,1527,194962.41324840765,-8,서울,2016,11
11410,2016-11,42282,10524505380,1534,248912.19384135093,197,서울,2016,11
11440,2016-11,146625,34438323140,6840,234873.47410059677,841,서울,2016,11
11470,2016-11,28812,6444638880,1937,223678.98375676802,115,서울,2016,11
11500,2016-11,136470,35133435060,4509,257444.38382061993,731,서울,2016,11
11530,2016-11,110178,25016212240,5695,227052.69872388316,855,서울,2016,11
11545,2016-11,133561,31391477840,7214,235034.76194398064,700,서울,2016,11
11560,2016-11,385660,109975580980,7784,285162.0105274076,580,서울,2016,11
11590,2016-11,40212,9108730520,1496,226517.7190888292,77,서울,2016,11
11620,2016-11,28893,5888415140,1695,203800.75243138475,105,서울,2016,11
11650,2016-11,363488,100150974700,10930,275527.5956840391,1450,서울,2016,11
11680,2016-11,602401,146732905640,19413,243580.11630126776,2992,서울,2016,11
11710,2016-11,208350,50758356380,8339,243620.62097432205,-591,서울,2016,11
11740,2016-11,57634,14553120700,2243,252509.29486067253,111,서울,2016,11
26110,2016-11,24940,5954621900,1394,238757.8949478749,-4,부산,2016,11
26140,2016-11,10971,2295945460,766,209274.0370066539,88,부산,2016,11
26170,2016-11,22504,4908997040,1264,218138.86597938143,209,부산,2016,11
26200,2016-11,14439,3443747760,773,238503.20382297944,159,부산,2016,11
26230,2016-11,35278,7748483180,2037,219640.6593344294,347,부산,2016,11
26260,2016-11,18741,3845940920,1304,205215.35243583587,196,부산,2016,11
26290,2016-11,33986,9063811140,1351,266692.4951450597,40,부산,2016,11
26320,2016-11,14904,2707878260,862,181688.02066559313,174,부산,2016,11
26350,2016-11,40454,8806934080,2676,217702.42942601474,413,부산,2016,11
26380,2016-11,36703,7976020760,1715,217312.50197531536,177,부산,2016,11
26410,2016-11,26157,5422944560,1520,207322.8795351149,270,부산,2016,11
26440,2016-11,61342,16078048860,3369,262105.0643930749,213,부산,2016,11
26470,2016-11,20675,4071788700,1323,196942.6215235792,365,부산,2016,11
26500,2016-11,12034,2422680500,894,201319.6360312448,164,부산,2016,11
26530,2016-11,40738,8804139900,2645,216116.1544503903,335,부산,2016,11
26710,2016-11,23389,5621448480,1372,240345.82410534867,276,부산,2016,11
27110,2016-11,16084,2923867620,1051,181787.34270082068,-15,대구,2016,11
27140,2016-11,39200,9314422860,1866,237612.82806122449,-195,대구,2016,11
27170,2016-11,20960,4309068760,1230,205585.34160305344,24,대구,2016,11
27200,2016-11,11841,2129251400,802,179820.2347774681,9,대구,2016,11
27230,2016-11,37598,7621170240,2662,202701.47986595033,-207,대구,2016,11
27260,2016-11,30912,6528273780,1949,211188.98097826086,135,대구,2016,11
27290,2016-11,68999,15516477180,3270,224879.73999623183,50,대구,2016,11
27710,2016-11,38745,9811358140,1867,253229.0138082333,-26,대구,2016,11
28110,2016-11,38486,9416374900,1816,244670.1371927454,306,인천,2016,11
28140,2016-11,14588,4284508740,743,293700.90074033453,33,인천,2016,11
