연월,시도,전입,전출,순이동,연도,월
2015-09,서울,112803,125689,-12886,2015,9
2015-09,세종,5870,2244,3626,2015,9
2015-09,울산,10873,11106,-233,2015,9
2015-09,인천,36563,35679,884,2015,9
2015-09,전남,17879,17168,711,2015,9
2015-09,전북,18501,18406,95,2015,9
2015-09,제주,6528,5193,1335,2015,9
2015-09,충남,21120,20627,493,2015,9
2015-09,충북,14307,14333,-26,2015,9
2015-10,강원,19842,18758,1084,2015,10
2015-10,경기,174074,164682,9392,2015,10
2015-10,경남,36285,35282,1003,2015,10
2015-10,경북,27280,26993,287,2015,10
2015-10,광주,17014,18549,-1535,2015,10
2015-10,대구,28104,29519,-1415,2015,10
2015-10,대전,18093,19809,-1716,2015,10
2015-10,부산,39877,41633,-1756,2015,10
2015-10,서울,135505,150502,-14997,2015,10
2015-10,세종,6652,2568,4084,2015,10
2015-10,울산,16539,15062,1477,2015,10
2015-10,인천,42386,41610,776,2015,10
2015-10,전남,20815,19522,1293,2015,10
2015-10,전북,21714,21781,-67,2015,10
2015-10,제주,7341,5971,1370,2015,10
2015-10,충남,24459,23930,529,2015,10
2015-10,충북,17464,17273,191,2015,10
2015-11,강원,18169,18195,-26,2015,11
2015-11,경기,173851,165298,8553,2015,11
2015-11,경남,39672,39054,618,2015,11
2015-11,경북,29066,27864,1202,2015,11
2015-11,광주,17962,18041,-79,2015,11
2015-11,대구,28060,29009,-949,2015,11
2015-11,대전,17744,19509,-1765,2015,11
2015-11,부산,42243,43674,-1431,2015,11
2015-11,서울,132012,145622,-13610,2015,11
2015-11,세종,6173,2486,3687,2015,11
2015-11,울산,14284,13828,456,2015,11
2015-11,인천,40391,39760,631,2015,11
2015-11,전남,19913,20020,-107,2015,11
2015-11,전북,22673,22314,359,2015,11
2015-11,제주,7533,6474,1059,2015,11
2015-11,충남,24050,22769,1281,2015,11
2015-11,충북,16401,16280,121,2015,11
2015-12,강원,21426,21113,313,2015,12
2015-12,경기,181157,168315,12842,2015,12
2015-12,경남,43683,42441,1242,2015,12
2015-12,경북,32397,31916,481,2015,12
2015-12,광주,19486,22564,-3078,2015,12
2015-12,대구,29168,31156,-1988,2015,12
2015-12,대전,18889,21730,-2841,2015,12
2015-12,부산,48899,50539,-1640,2015,12
2015-12,서울,133340,150733,-17393,2015,12
2015-12,세종,7594,2951,4643,2015,12
2015-12,울산,14051,15162,-1111,2015,12
2015-12,인천,39160,38841,319,2015,12
2015-12,전남,27477,23724,3753,2015,12
2015-12,전북,25195,25101,94,2015,12
2015-12,제주,9230,7999,1231,2015,12
2015-12,충남,27734,25312,2422,2015,12
2015-12,충북,21267,20556,711,2015,12
2016-01,강원,20120,20392,-272,2016,1
2016-01,경기,148176,138986,9190,2016,1
2016-01,경남,38068,38550,-482,2016,1
2016-01,경북,27354,29039,-1685,2016,1
2016-01,광주,17078,16925,153,2016,1
2016-01,대구,24526,25013,-487,2016,1
2016-01,대전,18658,19819,-1161,2016,1
2016-01,부산,41272,42010,-738,2016,1
2016-01,서울,113095,119949,-6854,2016,1
2016-01,세종,7097,2734,4363,2016,1
2016-01,울산,15058,15514,-456,2016,1
2016-01,인천,30828,30282,546,2016,1
2016-01,전남,19642,21590,-1948,2016,1
2016-01,전북,20207,21659,-1452,2016,1
2016-01,제주,11926,11070,856,2016,1
2016-01,충남,24576,23967,609,2016,1
2016-01,충북,17449,17631,-182,2016,1
2016-02,강원,23257,24257,-1000,2016,2
2016-02,경기,175465,165671,9794,2016,2
2016-02,경남,43029,43715,-686,2016,2
2016-02,경북,33835,33917,-82,2016,2
2016-02,광주,19697,20759,-1062,2016,2
2016-02,대구,32349,34137,-1788,2016,2
2016-02,대전,23139,23979,-840,2016,2
2016-02,부산,43080,43750,-670,2016,2
2016-02,서울,145256,153467,-8211,2016,2
2016-02,세종,7625,3119,4506,2016,2
2016-02,울산,15687,16634,-947,2016,2
