연월,시도,준공_아파트,준공_전체,착공_아파트,착공_전체,착공_호수,준공_호수,착공_비아파트,준공_비아파트,연도,월
2015-04,대구,2121.0,2964.0,1066.0,2820.0,2820.0,2964.0,1754.0,843.0,2015,4
2015-04,대전,,301.0,46.0,754.0,754.0,301.0,708.0,,2015,4
2015-04,부산,477.0,1245.0,1670.0,2730.0,2730.0,1245.0,1060.0,768.0,2015,4
2015-04,서울,4119.0,7103.0,1596.0,6558.0,6558.0,7103.0,4962.0,2984.0,2015,4
2015-04,세종,2000.0,2028.0,1678.0,1724.0,1724.0,2028.0,46.0,28.0,2015,4
2015-04,울산,1325.0,2087.0,832.0,1460.0,1460.0,2087.0,628.0,762.0,2015,4
2015-04,인천,379.0,911.0,429.0,1210.0,1210.0,911.0,781.0,532.0,2015,4
2015-04,전남,169.0,736.0,420.0,1354.0,1354.0,736.0,934.0,567.0,2015,4
2015-04,전북,,525.0,1541.0,2843.0,2843.0,525.0,1302.0,,2015,4
2015-04,제주,73.0,837.0,118.0,1771.0,1771.0,837.0,1653.0,764.0,2015,4
2015-04,충남,921.0,1855.0,3721.0,6052.0,6052.0,1855.0,2331.0,934.0,2015,4
2015-04,충북,16.0,885.0,1480.0,2968.0,2968.0,885.0,1488.0,869.0,2015,4
2015-05,강원,1500.0,1948.0,729.0,1778.0,1778.0,1948.0,1049.0,448.0,2015,5
2015-05,경기,3788.0,8324.0,16889.0,24732.0,24732.0,8324.0,7843.0,4536.0,2015,5
2015-05,경남,315.0,1673.0,2679.0,4595.0,4595.0,1673.0,1916.0,1358.0,2015,5
2015-05,경북,2291.0,3874.0,4072.0,6968.0,6968.0,3874.0,2896.0,1583.0,2015,5
2015-05,광주,,327.0,568.0,971.0,971.0,327.0,403.0,,2015,5
2015-05,대구,579.0,1617.0,1829.0,3416.0,3416.0,1617.0,1587.0,1038.0,2015,5
2015-05,대전,1189.0,1471.0,1805.0,2406.0,2406.0,1471.0,601.0,282.0,2015,5
2015-05,부산,306.0,833.0,1218.0,1962.0,1962.0,833.0,744.0,527.0,2015,5
2015-05,서울,1447.0,4382.0,1751.0,6822.0,6822.0,4382.0,5071.0,2935.0,2015,5
2015-05,세종,723.0,761.0,,97.0,97.0,761.0,,38.0,2015,5
2015-05,울산,1767.0,2216.0,516.0,1131.0,1131.0,2216.0,615.0,449.0,2015,5
2015-05,인천,318.0,1019.0,1409.0,2135.0,2135.0,1019.0,726.0,701.0,2015,5
2015-05,전남,1230.0,1653.0,285.0,1211.0,1211.0,1653.0,926.0,423.0,2015,5
2015-05,전북,176.0,794.0,641.0,1651.0,1651.0,794.0,1010.0,618.0,2015,5
2015-05,제주,,547.0,179.0,1372.0,1372.0,547.0,1193.0,,2015,5
2015-05,충남,294.0,1207.0,2292.0,4094.0,4094.0,1207.0,1802.0,913.0,2015,5
