시도,연월,KB_매수우위지수,KB_매매거래지수,KB_전세수급지수,연도,월
광주,2021-10,123.4733201,6.612491543,139.021381022,2021,10
대구,2021-10,44.55942832,4.372909658,164.481605024,2021,10
대전,2021-10,82.00587461,12.92156993,161.604484012,2021,10
부산,2021-10,89.224153,8.547962053,164.945955455,2021,10
서울,2021-10,96.4850479,7.683005857,162.24935577,2021,10
세종,2021-10,24.0,4.0,100.0,2021,10
울산,2021-10,84.26913089,12.09438689,189.716751943,2021,10
인천,2021-10,113.4181971,9.808993633,187.035314798,2021,10
전남,2021-10,61.58028639,22.45870094,161.32846025,2021,10
전북,2021-10,107.2093489,25.77955102,178.840125137,2021,10
제주,2021-10,126.0869565,4.347826087,191.30434783,2021,10
충남,2021-10,122.5736253,17.48409963,185.67633839,2021,10
충북,2021-10,156.3180357,32.7793703,188.6817652,2021,10
강원,2021-11,126.5432554,23.96591965,164.40730547,2021,11
경기,2021-11,76.76844036,4.398069516,131.35237674,2021,11
경남,2021-11,86.10623666,13.8063557,161.990613115,2021,11
경북,2021-11,84.99665083,12.70443817,163.924544383,2021,11
광주,2021-11,100.8532234,3.066211573,139.037500771,2021,11
대구,2021-11,35.90836298,2.748118418,143.86820489,2021,11
대전,2021-11,68.42755052,6.002931033,143.15409212,2021,11
부산,2021-11,68.17907182,2.887479638,141.758092418,2021,11
서울,2021-11,66.86333062,3.002419444,140.074961843,2021,11
세종,2021-11,23.076923,0.0,96.153846,2021,11
울산,2021-11,52.54424309,6.723772207,175.108434261,2021,11
인천,2021-11,80.61994957,5.934053274,177.124479106,2021,11
전남,2021-11,46.32980239,14.28507955,149.054456739,2021,11
전북,2021-11,79.7879348,17.13552676,170.172072089,2021,11
제주,2021-11,100.0,0.0,184.0,2021,11
충남,2021-11,104.8765524,15.34377226,166.986781826,2021,11
충북,2021-11,117.940949,28.90289662,180.951028691,2021,11
강원,2021-12,100.2010087,13.34147903,174.275756693,2021,12
경기,2021-12,62.28993326,2.04882967,126.56985808,2021,12
경남,2021-12,69.13832019,6.40572459,160.245177251,2021,12
경북,2021-12,77.37916852,11.20495192,160.019771056,2021,12
광주,2021-12,86.23643218,2.827742214,134.007319271,2021,12
대구,2021-12,29.55098323,1.528652393,135.08154476,2021,12
대전,2021-12,51.73979018,3.157714512,145.13163191,2021,12
부산,2021-12,63.70152057,2.494919412,130.47946268,2021,12
서울,2021-12,54.62951709,2.110656103,129.75474808,2021,12
세종,2021-12,25.0,0.0,78.571429,2021,12
울산,2021-12,44.1843185,2.094779359,170.665904138,2021,12
인천,2021-12,57.05739985,3.271078672,163.880722293,2021,12
전남,2021-12,41.34549187,10.15394804,147.129857078,2021,12
전북,2021-12,73.82936005,14.25403757,168.201198334,2021,12
제주,2021-12,69.56521739,0.0,147.82608696,2021,12
충남,2021-12,92.44536243,14.04615663,154.043955541,2021,12
충북,2021-12,84.55980708,14.01720372,168.222451448,2021,12
강원,2022-01,79.929795,5.421472,159.495195,2022,1
경기,2022-01,51.083829,1.512037,133.274979,2022,1
경남,2022-01,62.801715,8.761732,154.80756,2022,1
경북,2022-01,57.059862,3.553895,172.860362,2022,1
광주,2022-01,45.514005,2.300648,159.259479,2022,1
대구,2022-01,27.659089,3.113612,129.664578,2022,1
대전,2022-01,42.810436,3.299627,122.124973,2022,1
부산,2022-01,51.632194,2.645249,136.502173,2022,1
서울,2022-01,55.625601,1.548079,120.445063,2022,1
세종,2022-01,0.0,0.0,133.333333,2022,1
울산,2022-01,43.467463,14.273778,159.511143,2022,1
인천,2022-01,41.495962,0.926006,138.460808,2022,1
전남,2022-01,11.069074,2.623022,139.200314,2022,1
전북,2022-01,67.397545,6.713631,170.307519,2022,1
제주,2022-01,88.0,4.0,164.0,2022,1
충남,2022-01,81.324112,6.308657,168.678349,2022,1
충북,2022-01,74.590011,8.696573,135.474289,2022,1
강원,2022-02,93.809629,4.952297,173.228413,2022,2
경기,2022-02,45.194252,1.845762,133.607542,2022,2
경남,2022-02,63.672852,11.144748,158.796904,2022,2
경북,2022-02,51.283892,5.500807,177.798848,2022,2
광주,2022-02,55.503962,1.789321,160.557499,2022,2
대구,2022-02,22.990695,1.473536,118.435096,2022,2
대전,2022-02,32.855617,2.793925,110.086154,2022,2
부산,2022-02,50.185503,2.151193,141.043318,2022,2
서울,2022-02,55.534022,2.601593,122.235459,2022,2
세종,2022-02,7.142857,0.0,128.571429,2022,2
울산,2022-02,35.608218,10.92016,147.671671,2022,2
인천,2022-02,42.153679,3.335274,142.755473,2022,2
전남,2022-02,6.78989,2.203002,161.456616,2022,2
전북,2022-02,64.539813,5.257463,175.157962,2022,2
제주,2022-02,69.565217,8.695652,152.173913,2022,2
충남,2022-02,72.526156,10.958034,170.827894,2022,2
충북,2022-02,81.690555,12.075584,143.667764,2022,2
강원,2022-03,99.813031,12.341496,183.580878,2022,3
경기,2022-03,43.626295,2.945756,133.726875,2022,3
경남,2022-03,64.45211,11.323231,150.908162,2022,3
경북,2022-03,67.06983,8.441327,168.312524,2022,3
광주,2022-03,38.346607,1.546001,149.724232,2022,3
대구,2022-03,26.81258,1.014749,108.61581,2022,3
대전,2022-03,38.282288,2.548081,110.425048,2022,3
부산,2022-03,47.75344,1.705735,140.93376,2022,3
서울,2022-03,55.876451,2.199487,126.487662,2022,3
세종,2022-03,0.0,3.703704,122.222222,2022,3
울산,2022-03,31.902266,8.684741,142.691953,2022,3
인천,2022-03,40.534898,5.438775,136.869339,2022,3
전남,2022-03,17.313626,3.527656,158.784358,2022,3
전북,2022-03,71.597329,14.044876,181.800743,2022,3
제주,2022-03,73.913043,0.0,152.173913,2022,3
충남,2022-03,70.858996,10.609007,171.784509,2022,3
충북,2022-03,83.860794,14.221583,149.710166,2022,3
강원,2022-04,101.540926,9.186817,180.468903,2022,4
경기,2022-04,43.337789,4.29902,134.197793,2022,4
경남,2022-04,68.703963,15.411069,147.021988,2022,4
경북,2022-04,59.353072,9.820376,174.640899,2022,4
광주,2022-04,47.105681,3.315168,146.470842,2022,4
대구,2022-04,30.41808,2.778697,109.486832,2022,4
대전,2022-04,30.623885,2.739915,129.16014,2022,4
부산,2022-04,44.768567,1.817356,139.583079,2022,4
서울,2022-04,61.260124,3.334123,127.008793,2022,4
세종,2022-04,3.703704,3.703704,125.925926,2022,4
울산,2022-04,24.56337,15.692972,143.185784,2022,4
인천,2022-04,36.996065,4.116065,138.626765,2022,4
전남,2022-04,22.949728,5.609966,166.860916,2022,4
전북,2022-04,76.23932,8.589005,171.425339,2022,4
제주,2022-04,82.608696,4.347826,160.869565,2022,4
충남,2022-04,72.770996,10.511831,168.352094,2022,4
충북,2022-04,84.623199,17.740293,140.283153,2022,4
