연도,시도,전가구 평균,가구_부채평균,가구_소득평균,가구_자산평균,가구_순자산,DSR
2017,강원,3.1810991387,,,3.1810991387,,
2017,경기,23.2160190989,,,23.2160190989,,
2017,경남,6.5712422727,,,6.5712422727,,
2017,경북,5.5706908265,,,5.5706908265,,
2017,광주,2.9402466696,,,2.9402466696,,
2017,대구,4.8183030202,,,4.8183030202,,
2017,대전,3.045711464,,,3.045711464,,
2017,부산,6.9293663321,,,6.9293663321,,
2017,서울,19.4561197967,,,19.4561197967,,
2017,울산,2.1978263062,,,2.1978263062,,
2017,인천,5.4785895986,,,5.4785895986,,
2017,전남,3.7590361421,,,3.7590361421,,
2017,전북,3.7458061598,,,3.7458061598,,
2017,제주,1.1881808528,,,1.1881808528,,
2017,충남,4.7046176543,,,4.7046176543,,
2017,충북,3.1971446667,,,3.1971446667,,
2018,강원,3.1831521869,,,3.1831521869,,
2018,경기,23.372198927,,,23.372198927,,
2018,경남,6.5715720648,,,6.5715720648,,
2018,경북,5.5555564018,,,5.5555564018,,
2018,광주,2.9343439413,,,2.9343439413,,
2018,대구,4.7961025035,,,4.7961025035,,
2018,대전,3.0445789776,,,3.0445789776,,
2018,부산,6.8939651167,,,6.8939651167,,
2018,서울,19.2487230939,,,19.2487230939,,
2018,세종,0.5906688758,,,0.5906688758,,
2018,울산,2.1937229195,,,2.1937229195,,
2018,인천,5.4923502419,,,5.4923502419,,
2018,전남,3.7414563404,,,3.7414563404,,
2018,전북,3.7333829315,,,3.7333829315,,
2018,제주,1.2142457788,,,1.2142457788,,
2018,충남,4.2380116098,,,4.2380116098,,
2018,충북,3.1959680888,,,3.1959680888,,
2019,강원,3.1865503248,,,3.1865503248,,
2019,경기,23.5324879168,,,23.5324879168,,
2019,경남,6.5733665662,,,6.5733665662,,
2019,경북,5.5360609198,,,5.5360609198,,
2019,광주,2.9355664435,,,2.9355664435,,
2019,대구,4.7749952049,,,4.7749952049,,
2019,대전,3.0434444231,,,3.0434444231,,
2019,부산,6.8592017883,,,6.8592017883,,
2019,서울,19.0494636981,,,19.0494636981,,
2019,세종,0.6544179008,,,0.6544179008,,
2019,울산,2.1917381083,,,2.1917381083,,
2019,인천,5.5069637407,,,5.5069637407,,
2019,전남,3.7234296812,,,3.7234296812,,
2019,전북,3.7196488053,,,3.7196488053,,
2019,제주,1.2428587639,,,1.2428587639,,
2019,충남,4.2632664558,,,4.2632664558,,
2019,충북,3.2065392583,,,3.2065392583,,
2020,강원,3.1468961751,,,3.1468961751,,
2020,경기,24.2038862268,,,24.2038862268,,
2020,경남,6.5352664734,,,6.5352664734,,
2020,경북,5.4509270636,,,5.4509270636,,
2020,광주,2.9028297424,,,2.9028297424,,
2020,대구,4.7374653334,,,4.7374653334,,
2020,대전,2.9997555048,,,2.9997555048,,
2020,부산,6.7294235556,,,6.7294235556,,
2020,서울,18.9611965273,,,18.9611965273,,
2020,세종,0.6467368663,,,0.6467368663,,
2020,울산,2.1386257714,,,2.1386257714,,
2020,인천,5.4851839902,,,5.4851839902,,
2020,전남,3.6476801023,,,3.6476801023,,
2020,전북,3.6295684342,,,3.6295684342,,
