연월,시도,지가변동률,연도,월
2012-11,전국,0.067,2012,11
2012-11,전남,0.079,2012,11
2012-11,전북,0.107,2012,11
2012-11,제주,0.124,2012,11
2012-11,충남,0.064,2012,11
2012-11,충북,0.085,2012,11
2012-12,강원,0.147,2012,12
2012-12,경기,0.067,2012,12
2012-12,경남,0.133,2012,12
2012-12,경북,0.117,2012,12
2012-12,광주,0.109,2012,12
2012-12,대구,0.135,2012,12
2012-12,대전,0.104,2012,12
2012-12,부산,0.136,2012,12
2012-12,서울,0.05,2012,12
2012-12,세종,0.485,2012,12
2012-12,울산,0.183,2012,12
2012-12,인천,0.102,2012,12
2012-12,전국,0.082,2012,12
2012-12,전남,0.08,2012,12
2012-12,전북,0.118,2012,12
2012-12,제주,0.144,2012,12
2012-12,충남,0.064,2012,12
2012-12,충북,0.092,2012,12
2013-01,강원,0.119,2013,1
2013-01,경기,0.037,2013,1
2013-01,경남,0.122,2013,1
2013-01,경북,0.094,2013,1
2013-01,광주,0.05,2013,1
2013-01,대구,0.103,2013,1
2013-01,대전,0.068,2013,1
2013-01,부산,0.136,2013,1
2013-01,서울,-0.058,2013,1
2013-01,세종,0.658,2013,1
2013-01,울산,0.158,2013,1
2013-01,인천,0.005,2013,1
2013-01,전국,0.031,2013,1
2013-01,전남,0.071,2013,1
2013-01,전북,0.097,2013,1
2013-01,제주,0.112,2013,1
2013-01,충남,0.067,2013,1
2013-01,충북,0.074,2013,1
2013-02,강원,0.111,2013,2
2013-02,경기,0.029,2013,2
2013-02,경남,0.117,2013,2
2013-02,경북,0.096,2013,2
2013-02,광주,0.091,2013,2
2013-02,대구,0.104,2013,2
2013-02,대전,0.074,2013,2
2013-02,부산,0.132,2013,2
2013-02,서울,0.055,2013,2
2013-02,세종,0.627,2013,2
2013-02,울산,0.157,2013,2
2013-02,인천,0.084,2013,2
2013-02,전국,0.066,2013,2
2013-02,전남,0.071,2013,2
2013-02,전북,0.087,2013,2
2013-02,제주,0.114,2013,2
2013-02,충남,0.066,2013,2
2013-02,충북,0.07,2013,2
2013-03,강원,0.122,2013,3
2013-03,경기,0.101,2013,3
2013-03,경남,0.132,2013,3
2013-03,경북,0.117,2013,3
2013-03,광주,0.093,2013,3
2013-03,대구,0.125,2013,3
2013-03,대전,0.103,2013,3
2013-03,부산,0.129,2013,3
2013-03,서울,0.105,2013,3
2013-03,세종,0.509,2013,3
2013-03,울산,0.157,2013,3
2013-03,인천,0.117,2013,3
2013-03,전국,0.109,2013,3
2013-03,전남,0.103,2013,3
2013-03,전북,0.11,2013,3
2013-03,제주,0.129,2013,3
2013-03,충남,0.061,2013,3
2013-03,충북,0.098,2013,3
2013-04,강원,0.144,2013,4
2013-04,경기,0.106,2013,4
2013-04,경남,0.159,2013,4
2013-04,경북,0.136,2013,4
2013-04,광주,0.064,2013,4
2013-04,대구,0.141,2013,4
2013-04,대전,0.125,2013,4
2013-04,부산,0.163,2013,4
2013-04,서울,0.157,2013,4
2013-04,세종,0.624,2013,4
2013-04,울산,0.163,2013,4
2013-04,인천,0.138,2013,4
2013-04,전국,0.132,2013,4
2013-04,전남,0.097,2013,4
2013-04,전북,0.096,2013,4
2013-04,제주,0.141,2013,4
2013-04,충남,0.08,2013,4
2013-04,충북,0.106,2013,4
2013-05,강원,0.121,2013,5
2013-05,경기,0.133,2013,5
2013-05,경남,0.144,2013,5
2013-05,경북,0.122,2013,5
2013-05,광주,0.047,2013,5
2013-05,대구,0.15,2013,5
