지역코드,시도,시군구,레벨,연도,1인당결정세액_백만원,1인당총급여_백만원,결정세액_금액,결정세액_인원,과세표준_금액,과세표준_인원,급여총계_금액,급여총계_인원,총급여_금액,총급여_인원
A0310,경기,동두천시,시군구,2016,1.0489812172297073,24.25077790742901,15805,15067,333468,26213,753826,30938,748185,30852
A0311,경기,부천시,시군구,2016,2.01487569664354,28.984206252277943,336587,167051,4498832,269982,9125937,313823,9065738,312782
A0312,경기,성남시,시군구,2016,5.9431021915762265,42.315012763888326,1329050,223629,9521567,326142,15753539,370967,15664383,370185
A0313,경기,수원시,시군구,2016,3.644851184010428,37.36599506429072,1006635,276180,9768212,408693,17506569,467882,17427388,466397
A0314,경기,시흥시,시군구,2016,1.3999436607510456,27.584793478842503,129212,92298,2216559,146775,4666247,169279,4639514,168191
A0315,경기,안산시,시군구,2016,1.6729852268342429,28.26062880885377,242797,145128,3659728,228829,7502998,265036,7461456,264023
A0316,경기,안성시,시군구,2016,1.489576379974326,28.44533089967028,58019,38950,945743,59604,1943613,68267,1932462,67936
A0317,경기,안양시,시군구,2016,3.0996561752143226,35.545349645364794,409291,132044,4338303,197112,8024541,225305,7978367,224456
A0318,경기,양주시,시군구,2016,1.2688023790213572,25.43559000055063,46933,36990,844826,62362,1859838,72927,1847743,72644
A0319,경기,양평군,시군구,2016,3.344416358804848,32.345868846755955,51601,15429,495909,24774,934928,28880,929782,28745
A0320,경기,여주시,시군구,2016,1.7110700304480209,27.55794267032518,31470,18392,458057,29813,948834,34505,944080,34258
A0321,경기,연천군,시군구,2016,1.2663237039968342,28.308292758327536,9600,7581,174818,11315,368749,13010,366281,12939
A0322,경기,오산시,시군구,2016,1.9509651274394797,31.141808411102847,91471,46885,1304397,73072,2608863,83651,2596168,83366
A0323,경기,용인시,시군구,2016,4.674084741567471,41.46098245633329,1038605,222205,8759968,321103,15173098,365198,15080230,363721
A0324,경기,의왕시,시군구,2016,3.446384185747288,36.09828419690883,117856,34197,1167680,51654,2133084,58959,2120702,58748
A0325,경기,의정부시,시군구,2016,1.4928925294150763,26.68821861268268,106073,71052,1771908,121455,3823591,142889,3802057,142462
A0326,경기,이천시,시군구,2016,2.926278889145448,35.02434920068331,139405,47639,1504120,69626,2762050,78681,2747380,78442
A0327,경기,파주시,시군구,2016,2.1140460290303,31.55802278795172,191522,90595,2549318,139969,5063093,159980,5035335,159558
A0328,경기,평택시,시군구,2016,2.124927813384582,32.428830548926015,224454,105629,2992305,156292,5808863,178867,5774764,178075
A0329,경기,포천시,시군구,2016,1.0904457325604635,23.68609410592255,32733,30018,614174,48374,1341513,56660,1330969,56192
A0330,경기,하남시,시군구,2016,3.1279600260699545,34.36831936629073,143980,46030,1517799,71939,2864584,82942,2846178,82814
A0331,경기,화성시,시군구,2016,3.5502078165121644,39.19225649451944,652585,183816,6399945,258032,11358646,289351,11305947,288474
A0401,강원,강릉시,시군구,2016,2.189916421141242,29.69392142913604,72841,33262,942436,54505,1890042,63517,1878289,63255
A0402,강원,고성군,시군구,2016,1.386390673328575,26.780858085808585,5827,4203,96051,6466,204020,7598,202865,7575
A0403,강원,동해시,시군구,2016,1.9528565975314929,32.317709289938655,30695,15718,443224,24087,890536,27265,879785,27223
A0404,강원,삼척시,시군구,2016,2.030325720703856,31.597924427887172,21692,10684,302635,16290,600455,18837,593725,18790
A0405,강원,속초시,시군구,2016,1.6168044298210416,27.91740819651585,20147,12461,318045,20775,672799,23984,668259,23937
A0406,강원,양구군,시군구,2016,1.387033398821218,31.672648254591337,6354,4581,109577,6469,227233,7164,225921,7133
A0407,강원,양양군,시군구,2016,1.6813218390804598,28.239639088545648,5851,3480,89291,5688,185855,6621,184659,6539
A0408,강원,영월군,시군구,2016,1.938604013033785,30.728107414354824,11304,5831,157259,8843,313216,10151,311245,10129
A0409,강원,원주시,시군구,2016,2.0868393447914144,30.74062377332905,129311,61965,1737254,97359,3472557,112244,3445778,112092
A0410,강원,인제군,시군구,2016,1.6116078686392457,32.47250823723229,9913,6151,155371,8651,317515,9788,315373,9712
A0411,강원,정선군,시군구,2016,1.706134338588074,29.04821106576825,9957,5836,151597,9034,309971,10566,306081,10537
A0412,강원,철원군,시군구,2016,1.270595457335789,29.865850912093688,10349,8145,189283,11800,399952,13394,397843,13321
A0413,강원,춘천시,시군구,2016,2.1176021460998764,31.199878506985847,102619,48460,1392354,77429,2789301,89168,2773482,88894
A0414,강원,태백시,시군구,2016,1.975051975051975,33.25890919274662,17100,8658,245029,12780,485482,14301,475037,14283
A0415,강원,평창군,시군구,2016,1.9580380455054085,27.57530149541727,10499,5362,141129,8684,286989,10392,285818,10365
A0416,강원,홍천군,시군구,2016,1.6056136037697193,28.400090262890668,15674,9762,243556,15232,506072,17758,503420,17726
A0417,강원,화천군,시군구,2016,1.3248632433386272,31.760818160321588,7508,5667,130940,7552,270089,8635,268633,8458
A0418,강원,횡성군,시군구,2016,1.5147918816649466,26.63339333933393,8807,5814,140525,9585,297761,11196,295897,11110
A0501,대전,대덕구,시군구,2016,1.7597171008885937,28.227169418226584,58222,33086,876877,54512,1799223,63619,1788417,63358
A0502,대전,동구,시군구,2016,1.4826886272690367,26.265222188785238,51132,34486,859168,59465,1844297,70027,1832866,69783
A0503,대전,서구,시군구,2016,2.66337933428807,33.13135565466444,245489,92172,2915144,145878,5601023,168537,5564113,167941
A0504,대전,유성구,시군구,2016,4.227508004911284,43.55977729348437,351196,83074,3284923,116794,5706405,130367,5656542,129857
A0505,대전,중구,시군구,2016,2.1074032599228567,29.349558664120167,84686,40185,1134531,66697,2288782,77794,2274356,77492
A0601,충북,괴산군,시군구,2016,1.6580155719704532,27.91793346552104,8305,5009,125204,7830,255165,9376,253439,9078
A0602,충북,단양군,시군구,2016,1.616125150421179,28.702514150322497,6715,4155,107295,6628,219082,7637,218053,7597
A0603,충북,보은군,시군구,2016,1.6146612008680974,26.764156813939017,6696,4147,103703,6765,216295,8082,215050,8035
A0604,충북,영동군,시군구,2016,1.6362498043512286,27.8999754841873,10454,6389,165363,10372,343485,12372,341412,12237
A0605,충북,옥천군,시군구,2016,1.401032942490229,26.411537083482624,10037,7164,174396,12054,370936,14000,368573,13955
A0606,충북,음성군,시군구,2016,1.1655789116799458,26.599274288342617,27503,23596,505843,34849,1049535,39281,1040936,39134
A0607,충북,제천시,시군구,2016,1.778156359393232,29.118144528282777,38097,21425,568938,34284,1156405,39636,1149992,39494
A0608,충북,증평군,시군구,2016,1.3929622520793346,29.47030932490404,10886,7815,189461,11807,394905,13432,391572,13287
A0609,충북,진천군,시군구,2016,1.3039371808247762,28.104867183633065,23746,18211,417582,27122,858738,30791,851718,30305
A0610,충북,청주시,시군구,2016,2.46824763552158,33.77488927018076,442347,179215,5366605,265507,10214780,301955,10157190,300732
A0611,충북,충주시,시군구,2016,1.6998431091904984,29.21677203020934,61757,36331,933160,56949,1912810,65239,1899470,65013
A0701,충남,계룡시,시군구,2016,2.988061948806195,41.54930541298844,27783,9298,327798,13027,614952,14644,607160,14613
