연월,지역,소비심리지수,연도,월
2025-10,대구,105.5,2025,10
2025-10,대전,107.7,2025,10
2025-10,부산,114.2,2025,10
2025-10,비수도권,109.9,2025,10
2025-10,서울,126.6,2025,10
2025-10,세종,122.5,2025,10
2025-10,수도권,119.0,2025,10
2025-10,울산,121.0,2025,10
2025-10,인천,106.6,2025,10
2025-10,전국,114.9,2025,10
2025-10,전남,107.8,2025,10
2025-10,전북,115.1,2025,10
2025-10,제주,98.5,2025,10
2025-10,충남,100.9,2025,10
2025-10,충북,109.5,2025,10
2025-11,강원,100.6,2025,11
2025-11,경기,113.3,2025,11
2025-11,경남,110.6,2025,11
2025-11,경북,105.3,2025,11
2025-11,광주,104.8,2025,11
2025-11,대구,101.6,2025,11
2025-11,대전,108.7,2025,11
2025-11,부산,112.3,2025,11
2025-11,비수도권,108.9,2025,11
2025-11,서울,121.8,2025,11
2025-11,세종,122.7,2025,11
2025-11,수도권,115.1,2025,11
2025-11,울산,124.5,2025,11
2025-11,인천,105.9,2025,11
2025-11,전국,112.4,2025,11
2025-11,전남,106.8,2025,11
2025-11,전북,111.6,2025,11
2025-11,제주,103.2,2025,11
2025-11,충남,105.3,2025,11
2025-11,충북,103.7,2025,11
2025-12,강원,100.1,2025,12
2025-12,경기,113.7,2025,12
2025-12,경남,105.0,2025,12
2025-12,경북,106.3,2025,12
2025-12,광주,100.2,2025,12
2025-12,대구,105.7,2025,12
2025-12,대전,108.1,2025,12
2025-12,부산,112.5,2025,12
2025-12,비수도권,108.2,2025,12
2025-12,서울,122.3,2025,12
2025-12,세종,121.5,2025,12
2025-12,수도권,115.2,2025,12
2025-12,울산,115.5,2025,12
2025-12,인천,103.5,2025,12
2025-12,전국,112.2,2025,12
2025-12,전남,105.8,2025,12
2025-12,전북,117.5,2025,12
2025-12,제주,98.2,2025,12
2025-12,충남,102.8,2025,12
2025-12,충북,108.9,2025,12
2026-01,강원,103.2,2026,1
2026-01,경기,118.3,2026,1
2026-01,경남,111.8,2026,1
2026-01,경북,110.1,2026,1
2026-01,광주,104.9,2026,1
2026-01,대구,107.3,2026,1
2026-01,대전,113.6,2026,1
2026-01,부산,116.1,2026,1
2026-01,비수도권,111.5,2026,1
2026-01,서울,127.1,2026,1
2026-01,세종,123.8,2026,1
2026-01,수도권,120.4,2026,1
2026-01,울산,121.5,2026,1
2026-01,인천,112.1,2026,1
2026-01,전국,116.4,2026,1
2026-01,전남,107.9,2026,1
2026-01,전북,116.9,2026,1
2026-01,제주,96.2,2026,1
2026-01,충남,106.3,2026,1
2026-01,충북,111.0,2026,1
2026-02,강원,103.0,2026,2
2026-02,경기,112.3,2026,2
2026-02,경남,108.3,2026,2
2026-02,경북,103.1,2026,2
2026-02,광주,103.6,2026,2
2026-02,대구,104.9,2026,2
2026-02,대전,111.6,2026,2
2026-02,부산,111.2,2026,2
2026-02,비수도권,108.2,2026,2
2026-02,서울,117.9,2026,2
2026-02,세종,113.7,2026,2
2026-02,수도권,113.4,2026,2
2026-02,울산,122.1,2026,2
2026-02,인천,106.9,2026,2
2026-02,전국,111.1,2026,2
2026-02,전남,106.2,2026,2
2026-02,전북,113.8,2026,2
2026-02,제주,95.8,2026,2
2026-02,충남,99.2,2026,2
2026-02,충북,109.6,2026,2
2026-03,강원,102.7,2026,3
2026-03,경기,114.0,2026,3
2026-03,경남,104.8,2026,3
2026-03,경북,102.2,2026,3
2026-03,광주,94.7,2026,3
2026-03,대구,103.3,2026,3
2026-03,대전,107.5,2026,3
2026-03,부산,110.4,2026,3
2026-03,비수도권,105.4,2026,3
2026-03,서울,116.5,2026,3
2026-03,세종,106.0,2026,3
2026-03,수도권,114.1,2026,3
2026-03,울산,114.3,2026,3
2026-03,인천,108.0,2026,3
2026-03,전국,110.0,2026,3
2026-03,전남,107.6,2026,3
2026-03,전북,113.4,2026,3
2026-03,제주,89.3,2026,3
2026-03,충남,100.0,2026,3
2026-03,충북,107.3,2026,3
2026-04,강원,102.8,2026,4
2026-04,경기,116.4,2026,4
2026-04,경남,106.3,2026,4
2026-04,경북,100.9,2026,4
2026-04,광주,97.9,2026,4
2026-04,대구,101.2,2026,4
2026-04,대전,107.4,2026,4
2026-04,부산,107.3,2026,4
2026-04,비수도권,105.1,2026,4
2026-04,서울,122.2,2026,4
2026-04,세종,107.3,2026,4
2026-04,수도권,117.6,2026,4
2026-04,울산,113.3,2026,4
2026-04,인천,110.7,2026,4
2026-04,전국,111.8,2026,4
2026-04,전남,104.9,2026,4
2026-04,전북,115.3,2026,4
2026-04,제주,89.5,2026,4
2026-04,충남,102.7,2026,4
2026-04,충북,108.8,2026,4
2026-05,강원,100.5,2026,5
2026-05,경기,120.1,2026,5
2026-05,경남,106.8,2026,5
2026-05,경북,102.7,2026,5
2026-05,광주,106.1,2026,5
2026-05,대구,104.7,2026,5
2026-05,대전,107.8,2026,5
2026-05,부산,105.9,2026,5
2026-05,비수도권,106.3,2026,5
2026-05,서울,129.9,2026,5
2026-05,세종,108.1,2026,5
2026-05,수도권,122.1,2026,5
2026-05,울산,112.6,2026,5
2026-05,인천,110.5,2026,5
2026-05,전국,114.9,2026,5
2026-05,전남,105.8,2026,5
2026-05,전북,117.3,2026,5
2026-05,제주,91.7,2026,5
2026-05,충남,100.8,2026,5
2026-05,충북,113.5,2026,5
2026-06,강원,102.0,2026,6
2026-06,경기,121.9,2026,6
2026-06,경남,112.4,2026,6
2026-06,경북,104.8,2026,6
2026-06,광주,104.5,2026,6
2026-06,대구,104.6,2026,6
2026-06,대전,105.0,2026,6
2026-06,부산,109.0,2026,6
2026-06,비수도권,107.3,2026,6
2026-06,서울,130.9,2026,6
2026-06,세종,110.0,2026,6
2026-06,수도권,123.4,2026,6
2026-06,울산,115.6,2026,6
2026-06,인천,110.2,2026,6
2026-06,전국,115.9,2026,6
2026-06,전남,107.5,2026,6
2026-06,전북,112.7,2026,6
2026-06,제주,86.8,2026,6
2026-06,충남,105.3,2026,6
2026-06,충북,108.6,2026,6
