연월,시도,미분양_호수,연도,월
2008-12,전북,4617,2008,12
2008-12,제주,269,2008,12
2008-12,충남,15918,2008,12
2008-12,충북,6412,2008,12
2009-01,강원,10072,2009,1
2009-01,경기,21415,2009,1
2009-01,경남,16311,2009,1
2009-01,경북,16189,2009,1
2009-01,광주,12395,2009,1
2009-01,대구,21560,2009,1
2009-01,대전,3715,2009,1
2009-01,부산,13882,2009,1
2009-01,서울,2511,2009,1
2009-01,세종,0,2009,1
2009-01,울산,9486,2009,1
2009-01,인천,1605,2009,1
2009-01,전남,6069,2009,1
2009-01,전북,4579,2009,1
2009-01,제주,264,2009,1
2009-01,충남,16349,2009,1
2009-01,충북,6291,2009,1
2009-02,강원,9940,2009,2
2009-02,경기,20405,2009,2
2009-02,경남,16043,2009,2
2009-02,경북,15468,2009,2
2009-02,광주,12669,2009,2
2009-02,대구,21380,2009,2
2009-02,대전,3676,2009,2
2009-02,부산,13763,2009,2
2009-02,서울,2460,2009,2
2009-02,세종,0,2009,2
2009-02,울산,9668,2009,2
2009-02,인천,2320,2009,2
2009-02,전남,6221,2009,2
2009-02,전북,4392,2009,2
2009-02,제주,256,2009,2
2009-02,충남,16926,2009,2
2009-02,충북,6385,2009,2
2009-03,강원,9780,2009,3
2009-03,경기,24040,2009,3
2009-03,경남,14460,2009,3
2009-03,경북,15985,2009,3
2009-03,광주,12821,2009,3
2009-03,대구,20402,2009,3
2009-03,대전,3360,2009,3
2009-03,부산,13828,2009,3
2009-03,서울,2459,2009,3
2009-03,세종,0,2009,3
2009-03,울산,9577,2009,3
2009-03,인천,2101,2009,3
2009-03,전남,5944,2009,3
2009-03,전북,4264,2009,3
2009-03,제주,282,2009,3
2009-03,충남,18251,2009,3
2009-03,충북,8087,2009,3
2009-04,강원,9746,2009,4
2009-04,경기,24704,2009,4
2009-04,경남,14479,2009,4
2009-04,경북,14871,2009,4
2009-04,광주,11384,2009,4
2009-04,대구,20691,2009,4
2009-04,대전,3169,2009,4
2009-04,부산,14790,2009,4
2009-04,서울,2295,2009,4
2009-04,세종,0,2009,4
2009-04,울산,9084,2009,4
2009-04,인천,2157,2009,4
