연월,시도,기타대출_잔액,주담대_잔액,주담대_증감률,주담대_비중,연도,월
2006-12,강원,2361.9,2849.6,,54.67907512232563,2006,12
2006-12,경기,19568.0,65012.5,,76.8646437417608,2006,12
2006-12,경남,4498.9,7317.9,,61.92793311217927,2006,12
2006-12,경북,2914.6,2919.8,,50.0445632798574,2006,12
2006-12,광주,2558.1,3440.2,,57.35291665972026,2006,12
2006-12,대구,4011.3,9160.8,,69.5469970619719,2006,12
2006-12,대전,2966.3,5491.7,,64.92906124379286,2006,12
2006-12,부산,6304.4,14475.1,,69.6604826872639,2006,12
2006-12,서울,43780.1,100226.7,,69.59858839999222,2006,12
2006-12,울산,1506.4,3268.4,,68.45103459830779,2006,12
2006-12,인천,3829.6,13963.4,,78.47692912943293,2006,12
2006-12,전남,2309.9,1561.0,,40.326539047766666,2006,12
2006-12,전북,2673.8,2670.7,,49.9709982224717,2006,12
2006-12,제주,1276.0,747.5,,36.940943909068444,2006,12
2006-12,충남,2869.1,5004.7,,63.56143158322538,2006,12
2006-12,충북,1842.5,2841.3,,60.662282761860034,2006,12
2007-01,강원,2461.5,2699.0,-5.284952274003363,52.3011336110842,2007,1
2007-01,경기,18838.0,66278.3,1.9470101903480197,77.86792893958031,2007,1
2007-01,경남,4549.5,7225.8,-1.2585577829705152,61.36404168046674,2007,1
2007-01,경북,3003.1,2867.4,-1.7946434687307389,48.84422110552764,2007,1
2007-01,광주,2580.2,3371.2,-2.005697343177726,56.64549517760526,2007,1
2007-01,대구,3985.4,9101.4,-0.6484149855907728,69.54641317969251,2007,1
2007-01,대전,3040.9,5339.2,-2.7769178942768202,63.712843522153676,2007,1
2007-01,부산,6290.3,14460.8,-0.09879033650891378,69.68690816390458,2007,1
2007-01,서울,43008.1,100552.3,0.3248635343676032,70.04180818665871,2007,1
2007-01,울산,1491.0,3339.3,2.1692571288703943,69.13235202782437,2007,1
2007-01,인천,3640.1,14244.7,2.014552329661834,79.64696278404008,2007,1
2007-01,전남,2364.4,1477.9,-5.323510570147338,38.46394086875049,2007,1
2007-01,전북,2756.6,2555.6,-4.309731531059269,48.108128459018864,2007,1
2007-01,제주,1297.8,691.3,-7.518394648829441,34.754411542908855,2007,1
2007-01,충남,3010.3,4825.8,-3.574639838551752,61.58420642921861,2007,1
2007-01,충북,1871.5,2794.7,-1.6400943230211684,59.89241781320989,2007,1
2007-02,강원,2515.4,2699.4,0.014820303816232006,51.76420955741352,2007,2
2007-02,경기,19163.8,66512.5,0.3533584898828046,77.63232072346729,2007,2
2007-02,경남,4563.8,7377.0,2.09250186830523,61.77978024922953,2007,2
2007-02,경북,3036.8,2906.2,1.3531422194322351,48.90122833585731,2007,2
2007-02,광주,2602.4,3401.0,0.8839582344565722,56.651230969117506,2007,2
2007-02,대구,4055.4,9163.5,0.6823126112466271,69.3211991920659,2007,2
2007-02,대전,3086.9,5292.8,-0.8690440515432996,63.162165709989615,2007,2
2007-02,부산,6444.5,14294.5,-1.1500055321973846,68.9256955494479,2007,2
2007-02,서울,43165.9,100855.7,0.3017335257373466,70.02817632910619,2007,2
2007-02,울산,1496.9,3406.2,2.003413889138428,69.47033509412411,2007,2
2007-02,인천,3570.3,14527.8,1.9874058421728735,80.2725147943707,2007,2
2007-02,전남,2381.7,1492.5,0.9878882197712935,38.52408239120334,2007,2
2007-02,전북,2795.9,2542.8,-0.5008608545938209,47.629572742427925,2007,2
2007-02,제주,1297.0,682.3,-1.301894980471574,34.47178295356944,2007,2
2007-02,충남,3070.0,4804.9,-0.43308881428987256,61.01537797305362,2007,2
2007-02,충북,1883.0,2851.5,2.0324185064586553,60.228112789101274,2007,2
2007-03,강원,2473.1,2723.7,0.9002000444543024,52.41109913793104,2007,3
2007-03,경기,19231.9,66811.2,0.44908851719600573,77.64852730782596,2007,3
2007-03,경남,4547.4,7420.7,0.5923817269892995,62.00399395058531,2007,3
2007-03,경북,3030.6,2944.7,1.3247539742619274,49.281207638110224,2007,3
2007-03,광주,2607.7,3438.3,1.0967362540429404,56.869004300363876,2007,3
2007-03,대구,4055.6,9172.7,0.10039831941943689,69.34148756831944,2007,3
2007-03,대전,3104.7,5298.2,0.10202539298669322,63.05204155708148,2007,3
2007-03,부산,6484.2,14373.3,0.5512609745006669,68.91190219345559,2007,3
2007-03,서울,42943.0,100845.4,-0.01021261069032997,70.13458665650359,2007,3
2007-03,울산,1511.0,3541.6,3.9751042217133437,70.0946047579464,2007,3
2007-03,인천,3633.1,14520.9,-0.04749514723495496,79.98733061584224,2007,3
2007-03,전남,2387.1,1517.9,1.7018425460636477,38.870678617157495,2007,3
2007-03,전북,2806.0,2540.0,-0.11011483404121947,47.512158623269734,2007,3
2007-03,제주,1298.3,677.1,-0.7621280961453758,34.276602207147924,2007,3
2007-03,충남,3075.5,4857.2,1.0884721846448508,61.2300982011169,2007,3
2007-03,충북,1882.1,2885.6,1.1958618271085353,60.52394236214526,2007,3
2007-04,강원,2508.0,2736.3,0.46260601387819733,52.1766489331274,2007,4
2007-04,경기,19461.9,67056.2,0.36670498359556714,77.50540060403544,2007,4
2007-04,경남,4578.0,7444.3,0.31802929642756883,61.920763913726994,2007,4
2007-04,경북,3062.4,3041.6,3.2906577919652236,49.82961992136304,2007,4
2007-04,광주,2550.8,3534.4,2.7949858941918926,58.081903635048974,2007,4
2007-04,대구,4120.8,9176.2,0.03815670413291894,69.00955102654734,2007,4
2007-04,대전,3130.4,5250.8,-0.8946434638178902,62.64973989404859,2007,4
2007-04,부산,6671.8,14160.3,-1.4819143829183257,67.97346402907051,2007,4
2007-04,서울,43451.6,100608.4,-0.2350131984205528,69.83784534221851,2007,4
2007-04,울산,1451.8,3618.1,2.16004065958888,71.36432671255844,2007,4
2007-04,인천,3667.2,14536.1,0.10467670736662438,79.85420226002978,2007,4
2007-04,전남,2461.3,1486.7,-2.055471374925888,37.657041540020266,2007,4
2007-04,전북,2818.5,2587.4,1.8661417322834772,47.86252057936699,2007,4
2007-04,제주,1308.0,671.4,-0.8418254319893737,33.91936950591088,2007,4
2007-04,충남,3120.4,4846.8,-0.2141151280573128,60.834421126619134,2007,4
2007-04,충북,1896.7,2932.2,1.614915442195719,60.72190353910829,2007,4
2007-05,강원,2506.4,2749.0,0.46413039505901477,52.308102142558134,2007,5
2007-05,경기,19695.0,66805.2,-0.374312889784989,77.23126651730286,2007,5
2007-05,경남,4598.2,7418.0,-0.35329043697862605,61.73332667565453,2007,5
2007-05,경북,3098.1,3099.2,1.8937401367701279,50.00887483258839,2007,5
2007-05,광주,2554.3,3571.8,1.0581711181530062,58.304631005043994,2007,5
2007-05,대구,4164.5,9193.8,0.1918005274514245,68.82462588802467,2007,5
2007-05,대전,3144.9,5210.9,-0.7598842081206758,62.36267024103018,2007,5
2007-05,부산,6652.6,14190.0,0.20974131903985782,68.08171725216624,2007,5
2007-05,서울,44366.0,99516.3,-1.085495843289419,69.16507450881728,2007,5
2007-05,울산,1480.5,3594.8,-0.6439844117077986,70.82931058262567,2007,5
2007-05,인천,3703.8,14500.0,-0.24834721830477857,79.65369867829794,2007,5
2007-05,전남,2475.3,1492.2,0.36994686217797224,37.61058601134216,2007,5
2007-05,전북,2835.1,2637.3,1.9285769498338157,48.19274906805059,2007,5
2007-05,제주,1332.4,663.8,-1.131963062257968,33.25318104398357,2007,5
2007-05,충남,3137.5,4837.5,-0.19187917801436472,60.658307210031346,2007,5
2007-05,충북,1907.7,2968.6,1.2413887183684746,60.878124807743575,2007,5
2007-06,강원,2448.1,2784.5,1.291378683157518,53.2144631731835,2007,6
2007-06,경기,19723.4,67067.9,0.39323286211252473,77.27491119501609,2007,6
2007-06,경남,4577.7,7488.7,0.9530870854677742,62.06242126897832,2007,6
2007-06,경북,3071.0,3178.0,2.5425916365513723,50.85613698191711,2007,6
2007-06,광주,2543.1,3598.8,0.7559213841760393,58.594246080203206,2007,6
2007-06,대구,4136.8,9236.6,0.46553111879745757,69.06695380381952,2007,6
2007-06,대전,3128.2,5178.3,-0.6256116985549398,62.34033588153856,2007,6
2007-06,부산,6663.1,14191.3,0.009161381254396694,68.04942841798372,2007,6
2007-06,서울,44757.1,99351.6,-0.16550052604447085,68.94212493763389,2007,6
2007-06,울산,1496.6,3600.2,0.15021698008232942,70.63647778998589,2007,6
2007-06,인천,3684.2,14637.9,0.951034482758617,79.89204294267579,2007,6
2007-06,전남,2458.9,1493.8,0.10722423267657266,37.79188908847117,2007,6
2007-06,전북,2819.5,2649.2,0.451219049785756,48.44295719275147,2007,6
2007-06,제주,1331.2,667.5,0.5573968062669632,33.39670786010907,2007,6
2007-06,충남,3116.8,4837.6,0.0020671834625396457,60.81665493311878,2007,6
2007-06,충북,1894.3,3017.1,1.633766758741495,61.43054933420207,2007,6
2007-07,강원,2494.8,2711.1,-2.6360208295923893,52.07745058491328,2007,7
2007-07,경기,20023.0,67306.9,0.3563552757727573,77.07199939539608,2007,7
2007-07,경남,4607.7,7554.8,0.88266321257362,62.11551901336074,2007,7
2007-07,경북,3084.0,3208.7,0.966016362492117,50.990830645033135,2007,7
2007-07,광주,2545.2,3627.9,0.8086028676225432,58.76949992710308,2007,7
2007-07,대구,4144.5,9268.8,0.3486131260420411,69.10156337366644,2007,7
2007-07,대전,3153.6,5142.1,-0.6990711237278568,61.98512482370384,2007,7
2007-07,부산,6690.3,14336.5,1.0231620781746553,68.18203435615501,2007,7
2007-07,서울,45623.9,99003.5,-0.3503718108213705,68.4541794984906,2007,7
2007-07,울산,1515.0,3643.7,1.2082662074329287,70.63213600325663,2007,7
2007-07,인천,3679.8,14728.0,0.6155254510551433,80.00956116428905,2007,7
2007-07,전남,2468.0,1516.7,1.5330030793948346,38.063091324315515,2007,7
2007-07,전북,2832.5,2678.2,1.0946700890835048,48.599996370697006,2007,7
2007-07,제주,1342.2,661.1,-0.9588014981273374,33.000549093994906,2007,7
2007-07,충남,3169.4,4835.9,-0.035141392426008,60.40872921689381,2007,7
2007-07,충북,1909.2,3036.9,0.6562593218653712,61.399890823072724,2007,7
2007-08,강원,2539.1,2732.9,0.8041016561543435,51.83801213960546,2007,8
2007-08,경기,20572.6,67767.9,0.6849223482287892,76.71215354225977,2007,8
2007-08,경남,4692.3,7569.5,0.19457828135753807,61.732372082402264,2007,8
2007-08,경북,3149.7,3242.4,1.0502695795805206,50.72511381236213,2007,8
2007-08,광주,2647.6,3650.2,0.6146806692576945,57.959922512623464,2007,8
2007-08,대구,4272.6,9302.0,0.35819092007596254,68.5250394118427,2007,8
