시도코드,시도,연도,총인구,세대수,주택수,평균연령,노령화지수,노년부양비,유소년부양비,종사자수,사업체수,인구밀도
37,경북,2019,2645948,1092374,928103,44.4,172.5,28.9,16.8,1125839,219254,143.7
38,경남,2019,3347209,1321213,1119566,42.4,120.8,22.4,18.6,1409519,268803,317.1
39,제주,2019,665048,253716,205222,41.1,100.7,20.7,20.6,280899,60693,356.6
11,서울,2020,9586195,3982290,2918742,42.4,153.8,21.1,13.7,5801378,1146863,15837.1
21,부산,2020,3349016,1405037,1162449,44.3,179.1,27.1,15.2,1519657,384310,4268.0
22,대구,2020,2432796,996542,780461,42.9,142.0,23.1,16.3,1007160,270424,1629.8
23,인천,2020,2945454,1147200,966913,41.7,111.4,18.6,16.7,1191302,287314,2654.0
24,광주,2020,1477573,599217,496690,40.8,106.5,19.3,18.1,659938,163152,2966.9
25,대전,2020,1488435,631208,469892,40.9,113.8,19.1,16.8,681177,155304,2759.1
26,울산,2020,1135423,444087,364393,41.0,91.2,16.8,18.4,537776,111814,1068.1
29,세종,2020,353933,139106,122502,36.4,47.2,13.1,27.8,139537,27773,761.4
31,경기,2020,13511676,5098431,4222757,40.8,98.0,17.7,18.0,5823615,1391085,1306.9
32,강원,2020,1521763,661039,559917,45.0,183.5,29.6,16.1,697517,185489,90.5
33,충북,2020,1632088,678922,563379,43.0,143.4,24.3,17.0,799606,182824,220.3
34,충남,2020,2176636,892222,758578,43.0,143.8,26.2,18.2,1054894,243163,263.4
35,전북,2020,1802766,755575,645809,44.6,179.7,30.9,17.2,786974,217644,221.4
36,전남,2020,1788807,761518,679940,46.0,198.2,35.5,17.9,841809,221758,143.8
37,경북,2020,2622661,1121093,944808,45.1,185.7,30.9,16.6,1200706,305078,142.4
38,경남,2020,3333056,1350155,1145962,43.1,131.9,24.1,18.3,1479672,372150,315.7
39,제주,2020,670858,263068,211346,41.6,107.3,21.8,20.3,313686,88832,359.7
11,서울,2021,9472127,4046799,2971494,42.9,167.7,22.4,13.4,5695144,1112299,15648.6
21,부산,2021,3324335,1431365,1181494,44.8,193.0,29.0,15.1,1525475,382232,4236.5
22,대구,2021,2409196,1011728,789208,43.5,154.3,24.7,16.0,998662,264593,1614.0
23,인천,2021,2957044,1183610,990703,42.2,121.1,19.9,16.5,1202211,287562,2664.4
24,광주,2021,1475262,615693,509264,41.3,114.3,20.2,17.7,666759,161498,2962.3
25,대전,2021,1479740,640085,475213,41.5,125.1,20.4,16.3,678043,153724,2742.9
26,울산,2021,1120753,451432,367600,41.7,101.4,18.4,18.1,538342,109786,1054.3
29,세종,2021,366227,145295,130575,36.9,49.9,13.8,27.7,152093,29613,787.9
31,경기,2021,13652529,5290662,4365945,41.4,106.0,18.7,17.7,5918018,1404363,1320.5
32,강원,2021,1521890,674728,573981,45.6,197.0,31.4,15.9,705828,191894,90.5
33,충북,2021,1624764,695611,579966,43.7,154.6,26.0,16.8,807927,185156,219.3
34,충남,2021,2175960,915634,777993,43.6,153.7,27.5,17.9,1072013,250341,263.3
35,전북,2021,1787053,772471,658522,45.2,193.3,32.5,16.8,781504,221756,219.5
36,전남,2021,1778124,777358,695477,46.6,210.0,37.0,17.6,849241,227442,142.9
37,경북,2021,2614029,1145848,964077,45.8,199.5,32.6,16.3,1207047,310670,141.9
38,경남,2021,3305931,1378982,1167677,43.8,143.4,25.8,18.0,1494737,375402,313.2
39,제주,2021,673107,271162,217182,42.1,113.8,22.9,20.2,317914,90729,360.9
11,서울,2022,9417469,4098818,3010617,43.4,184.8,23.8,12.9,5713904,1098529,15558.3
