시군구코드,시군구,시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
51230,삼척시,51,강원,2013,73023,37384,35639,9934,5781,4153,8539,4715,3824,10811,6033,4778,30786,14126,16660
51230,삼척시,51,강원,2014,72314,36940,35374,9550,5484,4066,8044,4389,3655,10783,6071,4712,31265,14384,16881
51230,삼척시,51,강원,2015,70839,36000,34839,9002,5051,3951,7553,4116,3437,10557,5960,4597,31738,14636,17102
51230,삼척시,51,강원,2016,69599,35253,34346,8696,4838,3858,7127,3870,3257,10224,5744,4480,32168,14890,17278
51230,삼척시,51,강원,2017,68514,34638,33876,8499,4727,3772,6738,3611,3127,9893,5519,4374,32563,15096,17467
51230,삼척시,51,강원,2018,68326,34587,33739,8334,4657,3677,6697,3586,3111,9703,5411,4292,33270,15504,17766
51230,삼척시,51,강원,2019,67228,34038,33190,7935,4433,3502,6344,3379,2965,9332,5195,4137,33868,15961,17907
51230,삼척시,51,강원,2020,65243,33011,32232,7236,4042,3194,5795,3143,2652,8923,4910,4013,34294,16289,18005
51230,삼척시,51,강원,2021,63429,32043,31386,6721,3747,2974,5210,2812,2398,8497,4635,3862,34459,16482,17977
51230,삼척시,51,강원,2022,63455,32156,31299,6736,3798,2938,5082,2734,2348,8313,4505,3808,34920,16808,18112
51230,삼척시,51,강원,2023,62651,31822,30829,6589,3745,2844,4898,2648,2250,7831,4206,3625,35331,17116,18215
51230,삼척시,51,강원,2024,61735,31437,30298,6324,3635,2689,4852,2616,2236,7313,3885,3428,35643,17358,18285
51210,속초시,51,강원,2011,83745,41260,42485,9151,4937,4214,11612,5754,5858,15333,7689,7644,28741,13036,15705
51210,속초시,51,강원,2012,83579,41165,42414,8994,4882,4112,11260,5567,5693,15146,7591,7555,29862,13586,16276
51210,속초시,51,강원,2013,83109,40929,42180,8848,4874,3974,10852,5409,5443,14950,7457,7493,30910,14106,16804
51210,속초시,51,강원,2014,82432,40590,41842,8871,4864,4007,10285,5168,5117,14603,7289,7314,31815,14602,17213
51210,속초시,51,강원,2015,81992,40377,41615,8836,4871,3965,10037,5118,4919,14292,7116,7176,32663,15024,17639
51210,속초시,51,강원,2016,81793,40288,41505,8962,4980,3982,9746,4976,4770,13914,6870,7044,33674,15549,18125
51210,속초시,51,강원,2017,82273,40531,41742,9170,5100,4070,9674,4981,4693,13753,6824,6929,34880,16079,18801
51210,속초시,51,강원,2018,81682,40248,41434,8948,4961,3987,9448,4939,4509,13078,6539,6539,35955,16531,19424
51210,속초시,51,강원,2019,81786,40420,41366,8912,5027,3885,9292,4917,4375,12650,6271,6379,37199,17179,20020
