시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
46,전남,2019,1868745,937674,931071,204910,113410,91500,195424,102774,92650,266036,142564,123472,887684,416731,470953
46,전남,2020,1851549,930615,920934,200709,112080,88629,186064,97929,88135,259749,138946,120803,905517,427496,478021
46,전남,2021,1832803,922221,910582,193735,108408,85327,178428,93924,84504,252254,134387,117867,921526,437988,483538
46,전남,2022,1817697,915272,902425,185970,104135,81835,172262,90528,81734,247532,131641,115891,935478,446961,488517
46,전남,2023,1804217,909548,894669,178152,99758,78394,169502,89471,80031,240813,127824,112989,949091,455681,493410
46,전남,2024,1788819,902380,886439,169229,94710,74519,169144,89493,79651,232746,123138,109608,959894,463028,496866
52,전북,2011,1874031,934002,940029,226278,120919,105359,261406,135851,125555,298134,155664,142470,665983,302304,363679
52,전북,2012,1873341,933386,939955,220440,117669,102771,256667,133153,123514,297989,155899,142090,686096,312665,373431
52,전북,2013,1872965,932894,940071,217630,116330,101300,248955,129364,119591,301219,157304,143915,703511,321633,381878
52,전북,2014,1871560,931536,940024,217542,116121,101421,239288,124210,115078,303136,158133,145003,721828,331179,390649
52,전북,2015,1869711,930255,939456,218698,116922,101776,232517,120425,112092,299535,156279,143256,741324,341249,400075
52,전북,2016,1864791,927505,937286,219336,117336,102000,225651,116611,109040,295584,153731,141853,759227,351055,408172
52,전북,2017,1854607,922307,932300,219942,117800,102142,215957,111510,104447,291298,151368,139930,776637,360277,416360
52,전북,2018,1836832,913297,923535,217554,116781,100773,207874,107037,100837,281151,145934,135217,795465,370684,424781
52,전북,2019,1818917,904110,914807,213865,115138,98727,197979,101899,96080,274445,142008,132437,813073,380233,432840
52,전북,2020,1804104,896874,907230,211464,114209,97255,189012,97465,91547,268277,138330,129947,831696,390265,441431
52,전북,2021,1786855,888994,897861,206579,111771,94808,182181,94160,88021,259675,133465,126210,848619,400065,448554
52,전북,2022,1769607,880592,889015,198284,107645,90639,176505,91518,84987,253575,129889,123686,863302,408506,454796
52,전북,2023,1754757,873419,881338,190813,103468,87345,172999,90056,82943,245114,125613,119501,879045,416970,462075
52,전북,2024,1738690,866030,872660,181258,98552,82706,172652,90280,82372,234476,119955,114521,893853,425217,468636
50,제주,2011,576156,288152,288004,67548,35264,32284,86324,44321,42003,101368,52905,48463,176583,80053,96530
50,제주,2012,583713,292213,291500,67058,35305,31753,85584,43953,41631,103309,53881,49428,184737,84413,100324
50,제주,2013,593806,297504,296302,68351,36003,32348,84793,43559,41234,105341,54902,50439,193460,89053,104407
50,제주,2014,607346,304656,302690,70883,37298,33585,84968,43458,41510,107887,56427,51460,202743,94020,108723
50,제주,2015,624395,313428,310967,73565,38721,34844,85811,43768,42043,110642,57819,52823,213881,99862,114019
50,제주,2016,641597,322545,319052,76573,40342,36231,86909,44209,42700,112430,58757,53673,225686,106346,119340
50,제주,2017,657083,330823,326260,79751,42058,37693,87312,44512,42800,114469,59826,54643,236568,112146,124422
50,제주,2018,667191,335719,331472,81714,43079,38635,87727,44537,43190,113362,59150,54212,246950,117603,129347
50,제주,2019,670989,337345,333644,82155,43452,38703,84830,43072,41758,113091,58563,54528,256500,122518,133982
50,제주,2020,674635,338609,336026,82746,43708,39038,82555,41788,40767,112376,57969,54407,266000,127208,138792
50,제주,2021,676759,339177,337582,80923,42819,38104,81026,40755,40271,111251,56996,54255,275203,132015,143188
50,제주,2022,678159,339590,338569,77720,41252,36468,79539,40132,39407,110998,56630,54368,284223,136657,147566
50,제주,2023,675252,337976,337276,74037,39448,34589,78167,39613,38554,108720,55331,53389,292456,140730,151726
50,제주,2024,670368,335255,335113,70009,37376,32633,77588,39488,38100,105218,53180,52038,299535,144502,155033
44,충남,2011,2101284,1063012,1038272,256970,136454,120516,320742,170540,150202,336357,179314,157043,715775,331092,384683
44,충남,2012,2028777,1026812,1001965,242134,128559,113575,309190,164408,144782,323325,172360,150965,706789,328650,378139
44,충남,2013,2047631,1037421,1010210,240680,128305,112375,306780,163435,143345,331271,176537,154734,727470,339661,387809
44,충남,2014,2062273,1045892,1016381,242365,129974,112391,300806,160297,140509,333778,177993,155785,751847,352482,399365
44,충남,2015,2077649,1054439,1023210,244233,131431,112802,296909,158611,138298,333108,177468,155640,776949,365757,411192
44,충남,2016,2096727,1064765,1031962,246298,133020,113278,294535,157531,137004,335721,178418,157303,800608,378710,421898
44,충남,2017,2116770,1076270,1040500,248359,134845,113514,292363,156432,135931,336528,179060,157468,827185,392571,434614
44,충남,2018,2126282,1082009,1044273,248443,135709,112734,288943,154254,134689,331657,177042,154615,854664,407158,447506
44,충남,2019,2123709,1081938,1041771,245737,134935,110802,279253,149425,129828,328355,175174,153181,880271,421108,459163
44,충남,2020,2121029,1082634,1038395,243200,134208,108992,268598,144598,124000,327791,174709,153082,906264,435501,470763
44,충남,2021,2119257,1083366,1035891,238297,131774,106523,259565,139987,119578,325419,173385,152034,932577,450736,481841
44,충남,2022,2123037,1086632,1036405,231139,128393,102746,253435,137121,116314,327001,173888,153113,956665,464394,492271
44,충남,2023,2130119,1091570,1038549,225658,125506,100152,251099,136399,114700,323996,172380,151616,983538,479079,504459
44,충남,2024,2136574,1096128,1040446,220268,122159,98109,252339,137957,114382,317999,169167,148832,1008865,493190,515675
