시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
26,부산,2017,3470653,1709508,1761145,451791,237994,213797,467624,239058,228566,545052,272484,272568,1437410,665272,772138
26,부산,2018,3441453,1692421,1749032,444737,233755,210982,454711,232045,222666,527047,264732,262315,1467371,678712,788659
26,부산,2019,3413841,1675417,1738424,436149,228729,207420,435710,222456,213254,517782,260329,257453,1497639,692189,805450
26,부산,2020,3391946,1661000,1730946,430987,224517,206470,419014,214297,204717,511148,257288,253860,1526427,705167,821260
26,부산,2021,3350380,1639044,1711336,415549,215370,200179,405300,207947,197353,502391,253509,248882,1541424,712395,829029
26,부산,2022,3317812,1619915,1697897,395398,204011,191387,396427,203555,192872,494742,249657,245085,1558934,720103,838831
26,부산,2023,3293362,1605431,1687931,377587,193992,183595,390659,201309,189350,484716,244820,239896,1582658,730539,852119
26,부산,2024,3266598,1589912,1676686,358388,183238,175150,388958,200831,188127,471171,238130,233041,1603493,739796,863697
11,서울,2011,10249679,5073899,5175780,1529819,762432,767387,1831942,928074,903868,1744590,875411,869179,3103163,1447035,1656128
11,서울,2012,10195318,5041336,5153982,1488944,742981,745963,1802242,910258,891984,1735779,870688,865091,3195857,1493271,1702586
11,서울,2013,10143645,5007869,5135776,1459843,729035,730808,1763451,889687,873764,1738953,869875,869078,3276851,1532899,1743952
11,서울,2014,10103233,4979768,5123465,1457951,728892,729059,1713666,861605,852061,1729469,865039,864430,3363642,1574671,1788971
11,서울,2015,10022181,4930943,5091238,1447221,723200,724021,1668253,837657,830596,1701609,849573,852036,3436009,1608675,1827334
11,서울,2016,9930616,4876789,5053827,1442701,719783,722918,1620974,812434,808540,1678172,834115,844057,3493250,1637772,1855478
11,서울,2017,9857426,4830206,5027220,1447115,720019,727096,1579189,790867,788322,1647989,818309,829680,3560015,1666061,1893954
