사업명,대지위치(외 필지수),세대수,사업주체,시공자,착공일
효목동 공동주택,대구광역시 동구 효목동 430-4번지 일원,794,아시아신탁㈜,㈜대우건설,2021-08-13
용계동 도시개발사업 A2BL 공동주택,대구광역시 동구 용계동 492-1번지 일원,568,아시아신탁㈜,㈜대우건설,2021-06-11
용계동 도시개발사업 A1BL 공동주택,대구광역시 동구 용계동 575-12번지 일원,745,아시아신탁㈜,㈜대우건설,2021-06-11
신천동 137-1 주거복합,대구광역시 동구 신천동 137-1번지 일원,481,모아에이엔씨㈜,현대건설㈜,2022-07-15
동대구역 아펠리체2차,대구광역시 동구 신천동 328-1번지 일원,322,청우씨엔디㈜,디엘이앤씨㈜,2022-05-11
동부정류장 후적지 주상복합,대구광역시 동구 신천동 481-1번지 일원,466,한국자산신탁,㈜태영건설,2021-12-27
신천동 311-4 주거복합,대구광역시 동구 신천동 311-4번지 일원,540,대구동구복합개발1호㈜,㈜대우건설,2022-11-28
신천동 318-2 주거복합,대구광역시 동구 신천동 318-2번지 일원,621,㈜유,미정,미착공
효목동 484-4 공동주택,대구광역시 동구 효목동 484-4번지 일원,464,에스제이씨앤디㈜,미정,미착공
신천동 324 주거복합,대구광역시 동구 신천동 324번지 일원,504,우성디앤씨,미정,미착공
신암동 삼정그린코아더베스트,대구광역시 동구 신암동 225-4 일원,761,삼정건설㈜,미정,미착공
내당동 주택재건축정비사업,대구광역시 서구 내당동 936-1(129),282,내당동 주택재건축정비사업조합,㈜코오롱건설,미착공
평리3재정비촉진지역 주택재개발정비사업,대구광역시 서구 평리동 632-9번지 일원,1418,평리3재정비촉진구역 주택재개발정비사업조합,영무토건,2019-11-26
내당내서 주택재건축정비사업,대구광역시 서구 내당동 1-1(117),446,내당내서 주택재건축사업조합,㈜서한,미착공
원대동3가 주택재개발정비사업,대구광역시 서구 원대동 1402-11번지 일원,1394,원대동3가 주택재개발정비사업조합,㈜GS,착공
평리5재정비촉진구역 주택재개발정비사업,대구광역시 서구 평리동 1505-4일원,1594,평리7재정비 촉진구역 주택재개발정비사업조합,㈜화성,2021-07-01
평리7재정비촉진구역 주택재개발정비사업,대구광역시 서구 평리동 1481-1일원,1404,평리5재정비 촉진구역 주택재개발정비사업조합,㈜화성,2020-12-07
평리3동 주택재건축정비사업,대구광역시 서구 평리3동 1083-2번지일원,1678,평리3동 주택재건축정비사업조합,㈜반도,2020-06-24
평리6재정비촉진구역 주택재개발정비사업,대구광역시 서구 평리동1497-44,856,평리6재정비 촉진구역 주택재개발정비사업조합,㈜서한,2020-07-23
내당3지구지역주택조합 주상복합,대구광역시 서구 내당동 225-1  일원,840,내당3지구 지역주택조합㈜서희건설,㈜서희건설,2020-12-29
내당동 주거복합,대구광역시 서구 내당동 220-1  일원,1300,내당 지역주택조합 GS건설㈜,GS건설㈜,2021-09-17
비산동 주거복합,대구광역시 서구 비산동 934-1 일원,762,(주)비에스디파트너스,현대건설,2022-05-03
평리2재정비촉진구역주택재개발정비사업,대구광역시 서구 평리동 613,1037,평리2재정비 촉진구역 주택재개발정비사업조합,㈜두산건설,미착공
평리4재정비촉진구역주택재개발정비사업,대구광역시 서구 평리동 619-1,1151,평리2재정비 촉진구역 주택재개발정비사업조합,주식회사 한라,미착공
내당동 공동주택 신축공사,대구광역시 서구 내당동 868-1,240,㈜광림이엔씨,대우건설,2021-03-24
내당동 965 주상복합 신축공사,대구광역시 서구 내당동 965,139/ 90(오피),㈜태원이엔씨,미정,미착공
원대동 행복주택,대구광역시 서구 원대동1가 645번지 일원,12,대구도시공사,성도토건㈜,2022-03-10
인동촌 통합공공임대주택,대구광역시 서구 비산동 68-21번지 일원,12,대구도시공사,㈜창명건설,2022-09-19
서대구지구 재개발정비사업,대구광역시 서구 평리동 1354-1,2841,서대구지구 주택재개발정비사업 조합,디엘이앤씨 주식회사,미착공
비산동 주상복합,대구광역시 서구 비산동 1303-3번지 일원,336,미라주건설,미정,미착공
봉덕동새길지구주택재건축정비사업,대구광역시 남구 봉덕2동 1067-35(135),256,봉덕동 새길지구 주택재건축정비사업조합,㈜현대건설,2021-09-15
대명3동 뉴타운주택재개발사업,대구광역시 남구 대명동 2301-2,2061,대명3동 뉴타운 주택재개발정비사업조합,GS건설,착공
이천동 한마음 주택재건축사업,대구광역시 남구 이천동 295-7,412,이천동 한마음 주택재건축사업,태왕E&C,2020-07-29
대명2동 명덕지구주택재개발사업,대구광역시 남구 대명2동 2017-2,1758,대명2동 명덕지구 주택재개발사업조합,DL이엔씨,2022-07-27
대명역골안주택재건축사업,대구광역시 남구 대명동 1400,1051,대명역골안 주택재건축사업조합,계룡건설산업㈜,2019-10-18
배나무골 주택재개발사업,대구광역시 남구 이천동 281-1,433,배나무골 주택재개발사업조합,금호건설,2021-01-22
선주 주택재건축정비사업,대구광역시 남구 봉덕동 1015,499,선주 주택재건축정비사업조합,화성산업㈜,2020-02-06
문화지구주택재개발정비사업,대구광역시 남구 이천동 474-1,911,문화지구 주택재개발정비사업조합,대우건설,2021-07-06
대구대명행복주택,대구광역시 남구  대명동 930,90,LH,미정,미착공
대명동 221-1 주거복합,대구광역시 남구 대명동 221-1번지 일원,861,㈜무궁화신탁,현대건설(주),2021-02-10
대명동 157-3 주거복합,대구광역시 남구 대명동 157-3번지 일원,660,㈜정인산업개발,보광종합건설㈜,2021-12-24
대명동 289-9 주거복합,대구광역시 남구 대명동 289-9번지 일원,325,"엠스페이스대명피에프브이㈜, 현대엔지니어링㈜",현대엔지니어링㈜,2021-08-13
대명동 202-1 주거복합,대구광역시 남구 대명동 202-1번지 일원,977,㈜대명주택건설,현대건설(주),2022-04-15
봉덕대덕주택재개발사업,대구광역시 남구 봉덕동 1028-1번지,800,봉덕대덕 주택재개발사업조합,롯데건설㈜,미착공
대명동 1226-6 주거복합,대구광역시 남구 대명동 1226-6번지 일원,418,케이비부동산신탁㈜,미정,미착공
대명동 1745-9 주거복합 신축공사,대구광역시 남구 대명동 1745-9번지,566,㈜제이에프개발,미정,미착공
대명동 304-1 주거복합 신축공사,대구광역시 남구 대명동 304-1 일원,627,㈜하나자산신탁,자이S&D,미착공
성창아파트주택재건축정비사업,대구광역시 북구 관음동603번지 일원,200,성창아파트 주택재건축정비사업조합,(주)태왕이앤씨,2022-06-01
도남 A-1블럭아파트,대구광역시 북구 도남공공주택사업지구 A-1,854,LH,"㈜서한, ㈜보성설비, 동양종합건설㈜",2019-12-31
도남 B-1블럭아파트,대구광역시 북구 도남공공주택사업지구 B-1,825,LH,"계룡건설산업㈜, ㈜서한, 우미건설㈜, ㈜신흥디앤씨",미착공
노원2동주택재개발정비사업,대구광역시 북구 노원동2가  319번지 일원,1613,노원2동 주택재개발정비사업조합,"일성건설㈜, 우미건설㈜",미착공
학정역지구도시개발사업공동주택,대구광역시 북구 학정동 732-1일원,984,㈜동진글로벌,미정,미착공
도남 A-2블럭아파트,대구광역시 북구 도남공공주택 사업지구 A-2,1200,LH,신동아건설㈜,2019-12-31
태전동지역주택조합아파트,대구광역시 북구 태전동 214-47 일원,532,"태전동지역주택조합, ㈜광신종합건설",㈜광신종합건설,2020-07-08
대구역 오페라W,대구광역시 북구 고성동1가 104-21 일원,989,아이에스동서(주),아이에스동서(주),2019-10-16
침산동 공동주택 복합빌딩(더샵프리미엘),대구광역시 북구 침산동 305-4 일원,300,교보자산신탁㈜,(주)포스코건설,2020-11-05
힐스테이트 대구역 오페라,대구광역시 북구 고성동1가 114-33 일원,937,(주)무궁화신탁,현대건설(주),2020-04-24
대현2동강변 재건축,대구광역시 북구 대현동 417-1번지 일원,1106,대현2동강변 주택재건축정비사업조합,gs건설,미착공
대구침산행복주택,대구광역시 북구 침산동 1663-344 일원,28,LH,교보건설㈜,2020-12-30
팔달동 재건축,대구광역시 북구 팔달동 138번지 일원,724,팔달동 주택재건축정비사업조합,㈜효성,미착공
고성동 리건주거복합,대구광역시 북구 고성동1가 55-2번지 일원,854,"(주)리건인베스트먼트피에프브이, ㈜케이씨씨건설",㈜KCC건설,2020-07-28
복현지구 주거환경개선사업,대구광역시 북구 복현동 617-8번지 일원,278,대구도시공사,미정,미착공
고성동1가 주거복합,대구광역시 북구 고성동1가 162-11번지 일원,532,㈜케이더블유개발,(주)태왕이앤씨,2021-06-17
고성동3가 공동주택,대구광역시 북구 고성동3가 6-20번지 일원,417,아시아신탁㈜,(주)서한,2021-03-15
칠성동 주거복합,대구광역시 북구 칠성동2가 500-2번지 일원,424,한국자산신탁㈜,지에스건설(주),2021-08-13
노원동 주거복합,대구광역시 북구 노원동 228번지 일원,499,한국자산신탁㈜,㈜대우건설,2021-05-20
칠성동2가 주거복합,대구광역시 북구 칠성동2가 725번지 일원,446,"대구칠성 피에프브이 ㈜, ㈜호반건설",호반건설,2021-07-09
칠성동2가 321 주거복합,대구광역시 북구 칠성동2가 321번지 일원,577,㈜메테우스칠성제1차,㈜현대엔지니어링,2022-02-15
구수산공원 화성파크드림,대구광역시 북구 읍내동 1090,520,"㈜구수산민간공원피에프브이, ㈜화성개발",(주)화성개발,2022-07-20
칠성동 더퍼스트 주거복합,대구광역시 북구 칠성동2가 378-23번지,624,아시아신탁㈜,미정,미착공
금호워터폴리스 산업단지 D2BL,대구광역시 북구 워터폴리스 D2블럭,1275,제일건설㈜,미정,미착공
노곡 강변타운,대구광역시 북구 노곡동 516번지 일원,928,주식회사 임산하우징,미정,미착공
광명아파트재건축,대구광역시 수성구 수성4가동 996,125,광명아파트 주택재건축정비사업조합,미정,미착공
파동강촌2지구아파트,대구광역시 수성구 파동 27-17일원,1299,파동강촌2지구 재건축정비사업조합,"㈜대우건설, ㈜포스코건설",2021-01-12
시지경북타운가로주택정비사업,대구광역시 수성구 시지동 374 일원,120,시지경북타운 가로주택정비사업조합,동부건설,2021-07-14
중동희망지구재건축,대구광역시 수성구 중동 510-3 일원,720,중동희망지구 재건축조합,미정,미착공
지산시영1단지주택재건축정비사업,대구광역시 수성구 지산동 1234일원,899,지산시영1단지 주택재건축정비사업조합,㈜포스코건설,2020-07-24
수성용두지구주택재개발정비사업,대구광역시 수성구 파동540-14일원,795,수성용두지구 주택재개발정비사업조합,㈜한진중공업,2021-04-09
범어공원풀비체 소규모재건축사업,대구광역시 수성구 황금동 665번지,아파트 52/오피스텔 72,범어공원풀비체 소규모재건축사업조합,고려건설,2021-12-29
수성범어W,대구광역시 수성구 범어동 189-2일원,1340,수성범어지역주택조합외1,아이에스동서㈜,2019-05-17
만촌동 아파트,대구광역시 수성구 만촌동 883-38일원 ,607,아시아신탁㈜,"자이에스엔디㈜, 지에스건설㈜",2020-04-17
욱수동 공동주택,대구광역시 수성구 욱수동 25-2번지 일원,667,우리자산신탁㈜,한신공영㈜,2019-09-25
중동 공동주택,대구광역시 수성구 중동 556번지 일원,714,케이비부동산신탁㈜,㈜대우건설,2020-08-03
힐스테이트 만촌역,대구광역시 수성구 만촌동 1032-1 일원,658,한국자산신탁㈜,현대엔지니어링㈜,2021-03-08
두산동 85 주거복합,대구광역시 수성구 두산동 85번지 일원,301,한국자산신탁 ㈜,㈜호반건설,2020-09-01
수성동1가 공동주택,대구광역시 수성구 수성동1가 649-19번지 일원,303,㈜하나자산신탁,㈜포스코건설,2021-06-17
수성레이크 아파트,대구광역시 수성구 파동 68-7번지 일원,394,우리자산신탁(주),㈜우방,2021-09-10
만촌네거리 주거복합,대구광역시 수성구 만촌동 1041-1번지 일원 ,450,㈜티에스티홀딩스,"㈜태왕이앤씨, 대영에코건설㈜",2021-03-19
파동 공동주택,대구광역시 수성구 파동 118-118 번지일원,759,㈜수성의 숲,KCC건설,미착공
파동 328-1 공동주택,대구광역시 수성구 파동 328-1 번지일원,311,㈜필우산업개발,동부건설㈜,2022-01-24
범어동 I-WISH 주거복합,대구광역시 수성구 범어동 50-2번지 일원,300,(주)동화건설,(주)동화건설,미착공
대구MBC부지 주거복합,대구광역시 수성구 범어동 1번지,604,(주)모아종합건설,"㈜포스코건설, ㈜모아종합건설",2022-12-15
만촌3동 재개발사업,대구광역시 수성구 만촌3동 866-3번지 일원,아파트 864,만촌3동(수성32구역)재개발정비사업조합,GS건설㈜,미착공
청구매일맨션 소규모재건축사업,대구광역시 수성구 만촌동 862-2번지 일원,54,청구매일맨션 소규모재건축정비사업조합,화성산업㈜,미착공
범어우방1차주택재건축정비사업,대구광역시 수성구 범어동 620 일원,418,범어우방1차아파트 주택재건축정비사업조합,HDC현대산업개발주식회사,2021-10-19
수성 자이르네 신축공사,대구광역시 수성구 수성동1가 288 일원,219,수성동1가 가로주택정비사업 조합,자이에스앤디㈜,2022-05-31
우방범어2차아파트 주택재건축정비사업,대구광역시 수성구 범어동 650,490,우방범어타운2차 주택재건축정비사업조합,HDC현대산업개발주식회사,2022-09-28
범어동 48-26 주거복합,대구광역시 수성구 범어동 48-26 일원,399,㈜케이디앤씨,GS건설,2022-06-14
상동 159-1 공동주택,대구광역시 수성구 상동 159-1 일원,316,㈜더퍼스트에스제이,미정,미착공
황금동 851-13 주거복합,대구광역시 수성구 황금동 851-13 일원,677,㈜크로스일사삼홀딩스,미정,미착공
사월동 442 공동주택,대구광역시 수성구 사월동 442 일원,448,(주)도원코퍼레이션,미정,미착공
두류 센트레빌 더시티,대구광역시 달서구 두류동 631-40일원,333,(주)더파크,동부건설㈜,2020-04-14
힐스테이트 감삼주상복합,대구광역시 달서구 감삼동 556 일원,391,㈜무궁화신탁,현대엔지니어링㈜,2019-05-28
진천2차 라온프라이빗 주상복합,대구광역시 달서구 진천동42-3  일원,555,에버캄 도시개발㈜,라온건설주식회사,2020-04-10
뉴센트럴 두산위브더제니스,대구광역시 달서구 본리동 360-3 일원,316,코리아신탁㈜,두산건설(주),2020-03-13
용산동 주거복합,대구광역시 달서구 용산동 208-34 일원,429,㈜무궁화신탁,지에스건설(주),2020-05-14
상인동 공동주택,대구광역시 달서구 상인동 1332-100번지일원,990,코리아신탁㈜,㈜대우건설,2021-06-18
감삼동 567-2 주거복합,대구광역시 달서구 감삼동 567-2번지일원,393,아시아신탁㈜,현대엔지니어링㈜,2020-12-04
두류야외음악당 지역주택조합 아파트,대구광역시 달서구 두류동 638-19번지 일원,433,"두류야외음악당 지역주택조합, 동부건설㈜",동부건설㈜,2021-12-31
본동 743 주거복합,대구광역시 달서구 본동 743번지 일원,481,(주)엠에스산업개발,롯데건설(주),2021-12-15
감삼동 599-56,대구광역시 달서구 감삼동 599-56 외 11필지,238,㈜브리티시자산관리 하이드림,(주)삼정,2022-04-20
본리동 주거복합,대구광역시 달서구 본리동 358-5번지 일원,993,에스앤비본리㈜,(주)대우건설,2022-01-20
감삼동 505-1 주거복합,대구광역시 달서구 감삼동 505-1번지 일원,363,디에스네트웍스㈜,효성중공업㈜,2021-11-18
본동 하이엔드 주거복합,대구광역시 달서구 본동 760번지 일원,520,아시아신탁㈜,신세계건설㈜,2021-10-28
두류동 주거복합,대구광역시 달서구 두류동 138-2번지 일원,480,"두류동지역주택조합, ㈜서한",㈜서한,2021-07-16
본리동 661-9 외 15필지,대구광역시 달서구 본리동 661-9 번지 일원,360,교보자산신탁(주),지에스건설 (주),2022-06-10
감삼동 주거복합,대구광역시 달서구 감삼동 170-1번지 일원,415,㈜에이치케이감삼,미정,미착공
송현동 행복주택,대구광역시 달서구 송현동 984-21 일원,9,대구도시공사,동양종합건설주식회사,2022-05-02
월암동 공동주택,대구광역시 달서구 월암동 832 일원,402,"㈜영송건설, 에이블자산관리㈜",미정,미착공
성당동 559-12 공동주택,대구광역시 달서구 성당동 559-12번지 일원,929,㈜공감도시개발,미정,미착공
감삼동 공동주택,대구광역시 달서구 감삼동 147-1번지 일원,694,㈜피플코리아투,미정,미착공
본리동 398-1번지 일원 주상복합,대구광역시 달서구 본리동 398-1번지 일원,589,㈜에스디엔아이컴퍼니,미정,미착공
본리동 416번지 일원 주상복합,대구광역시 달서구 본리동 416번지 일원,598,㈜대신자산신탁,미정,미착공
본리동 380-1번지 일원 주상복합,대구광역시 달서구 본리동 380-1번지 일원,806,주식회사 하랑엠앤디,미정,미착공
본리동 420번지 일원 주상복합,대구광역시 달서구 본리동 420번지 일원,627,(주)비엘디개발,미정,미착공
상인3동 통합공공임대주택,대구광역시 달서구 상인동 1197-2번지 일원,8,㈜대구도시개발공사,미정,미착공
죽전역 에이린의 뜰(죽전3구역주택재건축정비사업조합),대구광역시 달서구 죽전동 204-1 일원,959,죽전3구역 주택재건축정비사업조합,아이에스동서㈜,2021-05-03
달서 SK VIEW(현대백조타운주택재건축정비사업),대구광역시 달서구 본리동 433,1196,현대백조타운 주택재건축정비사업,SK에코플랜트㈜,2021-08-20
송현2동송학주택재건축정비사업,대구광역시 달서구 송현동 78-3 일원,1021,송현2동 송학주택재건축정비사업,㈜한양,2020-11-06
두류 중흥S-클래스(달자03지구주택재개발정비사업조합),대구광역시 달서구 두류동 819 일원,454,달자03지구주택 재개발정비사업조합,중흥토건㈜,2021-11-19
대구국가산단 A7-1BL,대구광역시 달성군 구지면 국가산단 내(2단계) A7-1BL,500,LH,미정,미착공
금포지구 우신미가뷰 1단지 공동주택,대구광역시 달성군 논공읍 금포리 금포지구 토지구획정리사업 64BL 1L,695,우신종합건설㈜,우신종합건설㈜,2019-08-23
화원 파크뷰 우방아이유쉘,대구광역시 달성군 화원읍 천내리 690-1번지,538,아시아신탁㈜,우방산업㈜,2019-09-01
다사역 공동주택 신축공사,대구광역시 달성군 다사읍 매곡리 521-2 외 53필지,869,다사도시개발주식회사,금호산업㈜,2020-05-14
설화리 공동주택 신축공사,대구광역시 달성군 화원읍 설화리 778-1 외 8필지,320,아시아신탁㈜,에스엠상선㈜,2020-03-26
대구테크노폴리스 RC블럭 주상복합 신축공사,대구광역시 달성군 유가읍 봉리 660번지,894,㈜금성백조주택 정성욱 외 2인,(주)금성백조주택,2020-10-21
화원 동화아이위시 주거복합 신축공사,대구광역시 달성군 화원읍 명곡리 230-8 외 29필지,568,㈜동화건설,㈜동화건설,2021-02-03
가창 테라스하우스          공동주택 신축공사,대구광역시 달성군 가창면 용계리 산10-4 외 13필지,118,㈜다성디앤씨,미정,미착공
테크노폴리스 타운하우스 신축공사,대구광역시 달성군 유가읍 초곡리 426외 20필지,69,(주)하우스탑디앤씨,㈜태왕이앤씨 외 1,2022-02-01
다사읍 매곡리 748일원주상복합 신축공사,대구광역시 달성군 다사읍 매곡리 748외 63필지,471,㈜에스앤씨컨설팅,미정,미착공
