연도,시도,시군구,지역코드,거래량,평균전용면적,매매가_만원,평균매매가_만원,중위매매가_만원,매매가_억원,면적범위,가격통계,매매가_전년대비증가율,소득분위,가구_소득평균,가구_순자산,가구_자산평균,가구_부채평균,DSR,소득분위_선택값,매매가_소득배율,매매가_순자산배율,순자산_매매가커버리지,NPS_가입자수,NPS_고지금액합계,NPS_1인당고지금액,NPS_가입자수_전년대비증가율,NPS_고지금액합계_전년대비증가율,NPS_1인당고지금액_전년대비증가율,GRDP,GRDP_전년대비증가율,GRDP_가격기준,corr_var__가구_소득평균,corr_var__가구_순자산,corr_var__NPS_가입자수,corr_var__NPS_가입자수_전년대비증가율,corr_var__NPS_1인당고지금액,corr_var__NPS_1인당고지금액_전년대비증가율,corr_var__GRDP,corr_var__GRDP_전년대비증가율,상위10퍼센트_정확도
2017,서울,강남구,11680,1658,84.57320494571773,117725.0,118158.98914354644,117725.0,11.7725,82~86㎡,median,,소득5분위,12955.9113611205,67547.4968553551,83022.796550379,15475.2996950239,119.44585960555314,소득5분위,9.08658578456178,1.742847706882374,0.57377359826167,613451.0,155880197900.0,254103.7473245622,1.8343263042392088,6.233974731231928,4.32039822588739,62951638.0,0.5611324930411277,2015년 기준년가격,12955.9113611205,67547.4968553551,613451.0,1.8343263042392088,254103.7473245622,4.32039822588739,62951638.0,0.5611324930411277,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2018,서울,강남구,11680,770,84.57679558441558,140000.0,145021.55844155845,140000.0,14.0,82~86㎡,median,18.921214695264375,소득5분위,13546.653990428,74263.716571368,91414.0185944494,17150.3020230813,126.6017574169948,소득5분위,10.334655339903367,1.885173628032189,0.5304551183669143,637574.0,168630112060.0,264487.1215890234,3.9323434145514424,8.179303293019501,4.08627356888156,65689895.0,4.349778793682857,2015년 기준년가격,13546.653990428,74263.716571368,637574.0,3.9323434145514424,264487.1215890234,4.08627356888156,65689895.0,4.349778793682857,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2019,서울,강남구,11680,1143,84.59455371828523,170000.0,171767.35170603674,170000.0,17.0,82~86㎡,median,21.42857142857142,소득5분위,13785.8226582056,76921.0769571673,94608.1453937105,17687.0684365432,128.29896971012823,소득5분위,12.331509276946383,2.2100574605145313,0.4524769232774547,651024.0,181506252940.0,278801.17006439087,2.1095590472635317,7.6357304888812205,5.4120020624707665,67789806.0,3.1967032372330673,2015년 기준년가격,13785.8226582056,76921.0769571673,651024.0,2.1095590472635317,278801.17006439087,5.4120020624707665,67789806.0,3.1967032372330673,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2020,서울,강남구,11680,821,84.54246272838003,185000.0,186199.62850182704,185000.0,18.5,82~86㎡,median,8.823529411764696,소득5분위,13946.7843124463,79518.8733094601,98130.0812940564,18611.2079845963,133.44443828522827,소득5분위,13.264706462471317,2.3264917157470735,0.42983174761870324,624511.0,183615904140.0,294015.4843389468,-4.072507311558404,1.1623022159447993,5.457048215056659,,,,13946.7843124463,79518.8733094601,624511.0,-4.072507311558404,294015.4843389468,5.457048215056659,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2021,서울,강남구,11680,489,84.60898568507157,225000.0,219889.60122699387,225000.0,22.5,82~86㎡,median,21.62162162162162,소득5분위,14268.8269839115,90300.814516767,109951.7311755528,19650.9166587858,137.7192160290594,소득5분위,15.768640285126015,2.4916718769820414,0.40133695340785336,630982.0,192907196220.0,305725.35543010733,1.036170699955652,5.0601782691524155,3.9827395885249084,,,,14268.8269839115,90300.814516767,630982.0,1.036170699955652,305725.35543010733,3.9827395885249084,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2022,서울,강남구,11680,128,84.5150828125,230500.0,232631.1796875,230500.0,23.05,82~86㎡,median,2.444444444444449,소득5분위,15025.6975797391,100528.0244442397,121088.2011854,20560.1767411603,136.83342574979002,소득5분위,15.340385947259449,2.2928929646663097,0.43613025789258003,653746.0,200390257500.0,306526.16994979704,3.6077098871283075,3.8790990832016314,0.2619391900168244,,,,15025.6975797391,100528.0244442397,653746.0,3.6077098871283075,306526.16994979704,0.2619391900168244,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2023,서울,강남구,11680,571,84.66773940455342,230000.0,219597.0227670753,230000.0,23.0,82~86㎡,median,-0.2169197396963085,소득5분위,15598.0072555042,96824.6678861857,117458.2830186514,20633.6151324657,132.28366158878754,소득5분위,14.745473330821664,2.375427719208473,0.4209768168964596,1009112.0,339173943660.0,336111.29751702485,54.358420548653456,69.25670334048051,9.651746071819334,,,,15598.0072555042,96824.6678861857,1009112.0,54.358420548653456,336111.29751702485,9.651746071819334,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
2024,서울,강남구,11680,989,84.59643892821032,233000.0,232632.8614762386,233000.0,23.3,82~86㎡,median,1.304347826086949,소득5분위,16601.7403727805,103251.534864841,123780.2346436831,20528.6997788421,123.65390204812547,소득5분위,14.034673158846454,2.256625049739001,0.4431396346130515,,,,,,,,,,16601.7403727805,103251.534864841,,,,,,,현재 KOSIS 확보분은 소득5분위(상위20%) proxy; 소득10분위/순자산10분위 추가 확보 필요
