"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~4세","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~4세","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~4세","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~4세","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~4세","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~4세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~4세"
"경상북도 봉화군 봉성면(4792032000)","2,268","31","31","1,099","16","16","1,169","15","15","2,255","42","42","1,089","23","23","1,166","19","19","2,281","36","36","1,109","20","20","1,172","16","16"
"경상북도 봉화군 법전면(4792033000)","2,198","46","46","1,090","26","26","1,108","20","20","2,133","36","36","1,069","20","20","1,064","16","16","2,081","35","35","1,044","15","15","1,037","20","20"
"경상북도 봉화군 춘양면(4792034000)","4,625","107","107","2,290","54","54","2,335","53","53","4,592","96","96","2,265","50","50","2,327","46","46","4,532","96","96","2,248","55","55","2,284","41","41"
"경상북도 봉화군 소천면(4792035000)","2,365","32","32","1,165","15","15","1,200","17","17","2,340","36","36","1,147","14","14","1,193","22","22","2,317","40","40","1,141","18","18","1,176","22","22"
"경상북도 봉화군 재산면(4792036000)","1,661","27","27","825","14","14","836","13","13","1,644","29","29","821","17","17","823","12","12","1,640","28","28","822","18","18","818","10","10"
"경상북도 봉화군 명호면(4792037000)","2,352","38","38","1,206","23","23","1,146","15","15","2,329","34","34","1,199","23","23","1,130","11","11","2,303","33","33","1,198","19","19","1,105","14","14"
"경상북도 봉화군 상운면(4792038000)","1,891","24","24","956","9","9","935","15","15","1,862","23","23","950","10","10","912","13","13","1,814","26","26","925","13","13","889","13","13"
"경상북도 봉화군 석포면(4792039000)","2,223","151","151","1,200","80","80","1,023","71","71","2,215","145","145","1,205","73","73","1,010","72","72","2,163","127","127","1,181","64","64","982","63","63"
"경상북도 울진군 (4793000000)","51,738","1,847","1,847","25,847","952","952","25,891","895","895","50,974","1,663","1,663","25,463","838","838","25,511","825","825","50,036","1,510","1,510","24,983","754","754","25,053","756","756"
"경상북도 울진군 울진읍(4793025000)","14,576","647","647","7,264","354","354","7,312","293","293","14,562","620","620","7,282","334","334","7,280","286","286","14,571","572","572","7,318","300","300","7,253","272","272"
"경상북도 울진군 평해읍(4793025300)","3,198","42","42","1,593","22","22","1,605","20","20","3,128","31","31","1,552","14","14","1,576","17","17","3,048","26","26","1,496","15","15","1,552","11","11"
"경상북도 울진군 북면(4793031000)","6,645","396","396","3,545","200","200","3,100","196","196","6,454","345","345","3,420","167","167","3,034","178","178","6,192","337","337","3,285","165","165","2,907","172","172"
"경상북도 울진군 북면하당출장소(4793031500)","717","6","6","367","4","4","350","2","2","711","4","4","372","3","3","339","1","1","708","5","5","359","3","3","349","2","2"
"경상북도 울진군 근남면(4793033000)","2,829","63","63","1,401","37","37","1,428","26","26","2,796","64","64","1,361","33","33","1,435","31","31","2,788","59","59","1,367","30","30","1,421","29","29"
"경상북도 울진군 기성면(4793035000)","2,754","50","50","1,289","24","24","1,465","26","26","2,681","37","37","1,243","17","17","1,438","20","20","2,635","30","30","1,215","16","16","1,420","14","14"
"경상북도 울진군 온정면(4793036000)","1,891","23","23","903","10","10","988","13","13","1,867","24","24","898","8","8","969","16","16","1,831","22","22","887","8","8","944","14","14"
"경상북도 울진군 죽변면(4793037000)","7,439","368","368","3,828","170","170","3,611","198","198","7,204","299","299","3,719","139","139","3,485","160","160","7,008","246","246","3,592","116","116","3,416","130","130"
"경상북도 울진군 후포면(4793038000)","8,016","200","200","3,940","109","109","4,076","91","91","7,990","201","201","3,936","109","109","4,054","92","92","7,808","183","183","3,842","91","91","3,966","92","92"
"경상북도 울진군 금강송면(4793039000)","1,437","17","17","685","9","9","752","8","8","1,399","16","16","671","8","8","728","8","8","1,350","14","14","656","6","6","694","8","8"
"경상북도 울진군 매화면(4793040000)","2,236","35","35","1,032","13","13","1,204","22","22","2,182","22","22","1,009","6","6","1,173","16","16","2,097","16","16","966","4","4","1,131","12","12"
"경상북도 울릉군 (4794000000)","10,001","237","237","5,430","122","122","4,571","115","115","9,975","223","223","5,441","113","113","4,534","110","110","9,832","211","211","5,328","114","114","4,504","97","97"
