"행정구역","2013년_계_총인구수","2013년_계_연령구간인구수","2013년_계_0~4세","2013년_남_총인구수","2013년_남_연령구간인구수","2013년_남_0~4세","2013년_여_총인구수","2013년_여_연령구간인구수","2013년_여_0~4세","2014년_계_총인구수","2014년_계_연령구간인구수","2014년_계_0~4세","2014년_남_총인구수","2014년_남_연령구간인구수","2014년_남_0~4세","2014년_여_총인구수","2014년_여_연령구간인구수","2014년_여_0~4세","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_0~4세","2015년_남_총인구수","2015년_남_연령구간인구수","2015년_남_0~4세","2015년_여_총인구수","2015년_여_연령구간인구수","2015년_여_0~4세"
"서울특별시  (1100000000)","10,143,645","408,757","408,757","5,007,869","209,667","209,667","5,135,776","199,090","199,090","10,103,233","404,369","404,369","4,979,768","207,551","207,551","5,123,465","196,818","196,818","10,022,181","393,903","393,903","4,930,943","201,960","201,960","5,091,238","191,943","191,943"
"서울특별시 종로구 (1111000000)","160,070","4,556","4,556","79,519","2,366","2,366","80,551","2,190","2,190","156,993","4,445","4,445","77,621","2,282","2,282","79,372","2,163","2,163","154,986","4,353","4,353","76,548","2,228","2,228","78,438","2,125","2,125"
"서울특별시 종로구 청운효자동(1111051500)","14,570","481","481","6,971","276","276","7,599","205","205","14,308","496","496","6,807","268","268","7,501","228","228","14,105","506","506","6,673","278","278","7,432","228","228"
"서울특별시 종로구 사직동(1111053000)","9,875","367","367","4,609","210","210","5,266","157","157","9,774","372","372","4,571","203","203","5,203","169","169","9,700","365","365","4,506","195","195","5,194","170","170"
"서울특별시 종로구 삼청동(1111054000)","3,218","92","92","1,557","46","46","1,661","46","46","3,058","73","73","1,465","34","34","1,593","39","39","2,960","70","70","1,393","34","34","1,567","36","36"
"서울특별시 종로구 부암동(1111055000)","11,109","286","286","5,464","150","150","5,645","136","136","10,933","295","295","5,356","158","158","5,577","137","137","10,780","284","284","5,250","149","149","5,530","135","135"
"서울특별시 종로구 평창동(1111056000)","19,544","584","584","9,315","297","297","10,229","287","287","19,393","611","611","9,207","300","300","10,186","311","311","19,212","590","590","9,112","303","303","10,100","287","287"
"서울특별시 종로구 무악동(1111057000)","8,581","371","371","4,091","182","182","4,490","189","189","8,376","337","337","3,951","154","154","4,425","183","183","8,541","352","352","4,042","166","166","4,499","186","186"
"서울특별시 종로구 교남동(1111058000)","5,347","151","151","2,640","75","75","2,707","76","76","4,921","134","134","2,382","64","64","2,539","70","70","4,797","119","119","2,305","57","57","2,492","62","62"
"서울특별시 종로구 가회동(1111060000)","5,219","119","119","2,444","50","50","2,775","69","69","5,070","141","141","2,377","63","63","2,693","78","78","4,837","124","124","2,246","53","53","2,591","71","71"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,856","161","161","4,581","82","82","3,275","79","79","7,894","126","126","4,516","64","64","3,378","62","62","7,876","132","132","4,553","67","67","3,323","65","65"
"서울특별시 종로구 종로5.6가동(1111063000)","5,926","98","98","3,225","44","44","2,701","54","54","5,744","85","85","3,136","45","45","2,608","40","40","5,719","71","71","3,174","34","34","2,545","37","37"
"서울특별시 종로구 이화동(1111064000)","8,995","225","225","4,275","112","112","4,720","113","113","8,814","224","224","4,170","119","119","4,644","105","105","8,690","239","239","4,103","114","114","4,587","125","125"
"서울특별시 종로구 혜화동(1111065000)","17,889","439","439","8,858","215","215","9,031","224","224","17,761","451","451","8,772","214","214","8,989","237","237","17,798","440","440","8,735","209","209","9,063","231","231"
"서울특별시 종로구 창신제1동(1111067000)","6,334","126","126","3,366","73","73","2,968","53","53","6,209","127","127","3,321","64","64","2,888","63","63","5,983","133","133","3,221","66","66","2,762","67","67"
"서울특별시 종로구 창신제2동(1111068000)","10,679","240","240","5,431","124","124","5,248","116","116","10,201","220","220","5,175","117","117","5,026","103","103","9,831","191","191","4,996","106","106","4,835","85","85"
"서울특별시 종로구 창신제3동(1111069000)","8,189","293","293","4,114","145","145","4,075","148","148","7,939","278","278","3,991","156","156","3,948","122","122","7,767","268","268","3,901","152","152","3,866","116","116"
"서울특별시 종로구 숭인제1동(1111070000)","7,202","233","233","3,630","127","127","3,572","106","106","6,973","229","229","3,470","124","124","3,503","105","105","6,862","230","230","3,426","123","123","3,436","107","107"
"서울특별시 종로구 숭인제2동(1111071000)","9,537","290","290","4,948","158","158","4,589","132","132","9,625","246","246","4,954","135","135","4,671","111","111","9,528","239","239","4,912","122","122","4,616","117","117"
"서울특별시 중구 (1114000000)","130,465","4,769","4,769","65,371","2,435","2,435","65,094","2,334","2,334","128,065","4,582","4,582","64,033","2,360","2,360","64,032","2,222","2,222","125,733","4,295","4,295","62,687","2,197","2,197","63,046","2,098","2,098"
"서울특별시 중구 소공동(1114052000)","1,339","69","69","698","35","35","641","34","34","1,278","72","72","681","44","44","597","28","28","1,248","66","66","679","35","35","569","31","31"
"서울특별시 중구 회현동(1114054000)","5,892","145","145","3,200","66","66","2,692","79","79","5,795","150","150","3,139","68","68","2,656","82","82","5,594","141","141","3,070","63","63","2,524","78","78"
"서울특별시 중구 명동(1114055000)","3,279","87","87","1,440","44","44","1,839","43","43","3,088","68","68","1,336","34","34","1,752","34","34","3,010","59","59","1,303","33","33","1,707","26","26"
"서울특별시 중구 필동(1114057000)","4,484","133","133","2,366","74","74","2,118","59","59","4,418","140","140","2,334","74","74","2,084","66","66","4,300","147","147","2,229","77","77","2,071","70","70"
"서울특별시 중구 장충동(1114058000)","5,551","144","144","2,853","73","73","2,698","71","71","5,314","145","145","2,742","77","77","2,572","68","68","5,175","127","127","2,668","68","68","2,507","59","59"
"서울특별시 중구 광희동(1114059000)","5,364","132","132","2,882","63","63","2,482","69","69","5,167","123","123","2,758","63","63","2,409","60","60","4,980","98","98","2,629","46","46","2,351","52","52"
"서울특별시 중구 을지로동(1114060500)","1,901","32","32","1,171","12","12","730","20","20","1,794","25","25","1,128","14","14","666","11","11","1,731","16","16","1,100","11","11","631","5","5"
"서울특별시 중구 신당동(1114061500)","7,640","163","163","3,952","77","77","3,688","86","86","7,353","147","147","3,785","69","69","3,568","78","78","7,549","162","162","3,915","81","81","3,634","81","81"
"서울특별시 중구 다산동(1114062500)","16,163","513","513","7,954","273","273","8,209","240","240","15,814","466","466","7,748","237","237","8,066","229","229","15,492","440","440","7,540","229","229","7,952","211","211"
"서울특별시 중구 약수동(1114063500)","19,030","879","879","9,167","435","435","9,863","444","444","18,893","842","842","9,091","424","424","9,802","418","418","18,720","778","778","8,971","393","393","9,749","385","385"
"서울특별시 중구 청구동(1114064500)","15,598","578","578","7,534","297","297","8,064","281","281","15,394","564","564","7,425","288","288","7,969","276","276","15,367","551","551","7,379","279","279","7,988","272","272"
"서울특별시 중구 신당제5동(1114065000)","10,397","430","430","5,252","227","227","5,145","203","203","10,433","430","430","5,263","230","230","5,170","200","200","10,096","388","388","5,066","192","192","5,030","196","196"
"서울특별시 중구 동화동(1114066500)","11,913","507","507","5,763","245","245","6,150","262","262","11,734","488","488","5,707","247","247","6,027","241","241","11,510","461","461","5,598","233","233","5,912","228","228"
"서울특별시 중구 황학동(1114067000)","12,259","593","593","6,234","324","324","6,025","269","269","12,316","570","570","6,192","303","303","6,124","267","267","12,305","556","556","6,154","284","284","6,151","272","272"
"서울특별시 중구 중림동(1114068000)","9,655","364","364","4,905","190","190","4,750","174","174","9,274","352","352","4,704","188","188","4,570","164","164","8,656","305","305","4,386","173","173","4,270","132","132"
"서울특별시 용산구 (1117000000)","239,740","9,378","9,378","116,491","4,743","4,743","123,249","4,635","4,635","235,951","8,981","8,981","114,578","4,562","4,562","121,373","4,419","4,419","233,342","8,796","8,796","113,177","4,506","4,506","120,165","4,290","4,290"
"서울특별시 용산구 후암동(1117051000)","19,561","740","740","9,705","386","386","9,856","354","354","19,162","692","692","9,496","351","351","9,666","341","341","19,098","703","703","9,423","366","366","9,675","337","337"
"서울특별시 용산구 용산2가동(1117052000)","12,477","410","410","6,051","218","218","6,426","192","192","12,072","380","380","5,879","202","202","6,193","178","178","11,802","368","368","5,687","187","187","6,115","181","181"
"서울특별시 용산구 남영동(1117053000)","7,987","171","171","4,865","91","91","3,122","80","80","8,093","176","176","4,949","99","99","3,144","77","77","8,115","160","160","4,944","88","88","3,171","72","72"
"서울특별시 용산구 청파동(1117055500)","22,494","641","641","10,835","324","324","11,659","317","317","22,018","620","620","10,584","307","307","11,434","313","313","21,493","602","602","10,317","292","292","11,176","310","310"
"서울특별시 용산구 원효로제1동(1117056000)","12,709","742","742","6,304","394","394","6,405","348","348","13,113","778","778","6,445","410","410","6,668","368","368","13,784","752","752","6,776","379","379","7,008","373","373"
"서울특별시 용산구 원효로제2동(1117057000)","15,646","658","658","7,419","343","343","8,227","315","315","15,504","651","651","7,301","337","337","8,203","314","314","15,542","672","672","7,334","343","343","8,208","329","329"
"서울특별시 용산구 효창동(1117058000)","11,244","467","467","5,466","231","231","5,778","236","236","11,110","434","434","5,425","226","226","5,685","208","208","9,652","380","380","4,721","212","212","4,931","168","168"
"서울특별시 용산구 용문동(1117059000)","12,894","665","665","6,256","328","328","6,638","337","337","12,842","663","663","6,204","318","318","6,638","345","345","12,867","644","644","6,199","310","310","6,668","334","334"
"서울특별시 용산구 한강로동(1117062500)","15,087","592","592","7,526","285","285","7,561","307","307","15,034","537","537","7,492","276","276","7,542","261","261","14,877","507","507","7,380","266","266","7,497","241","241"
"서울특별시 용산구 이촌제1동(1117063000)","26,919","1,387","1,387","12,551","676","676","14,368","711","711","26,652","1,380","1,380","12,413","688","688","14,239","692","692","27,711","1,472","1,472","12,859","739","739","14,852","733","733"
