"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~4세","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~4세","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~4세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~4세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~4세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~4세","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~4세","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~4세","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~4세"
"서울특별시 중구 명동(1114055000)","2,936","35","35","1,235","20","20","1,701","15","15","2,914","28","28","1,242","18","18","1,672","10","10","2,884","28","28","1,262","13","13","1,622","15","15"
"서울특별시 중구 필동(1114057000)","3,995","98","98","2,058","55","55","1,937","43","43","4,034","67","67","2,083","37","37","1,951","30","30","4,023","59","59","2,045","34","34","1,978","25","25"
"서울특별시 중구 장충동(1114058000)","4,708","90","90","2,399","50","50","2,309","40","40","4,664","89","89","2,359","52","52","2,305","37","37","4,590","60","60","2,351","34","34","2,239","26","26"
"서울특별시 중구 광희동(1114059000)","4,905","67","67","2,600","33","33","2,305","34","34","5,224","60","60","2,704","34","34","2,520","26","26","5,255","59","59","2,688","29","29","2,567","30","30"
"서울특별시 중구 을지로동(1114060500)","1,802","27","27","1,103","18","18","699","9","9","1,816","25","25","1,096","10","10","720","15","15","1,738","17","17","1,048","7","7","690","10","10"
"서울특별시 중구 신당동(1114061500)","7,526","145","145","3,761","58","58","3,765","87","87","7,692","140","140","3,849","60","60","3,843","80","80","7,673","131","131","3,782","55","55","3,891","76","76"
"서울특별시 중구 다산동(1114062500)","14,526","303","303","7,072","156","156","7,454","147","147","14,243","266","266","6,907","132","132","7,336","134","134","13,798","230","230","6,712","117","117","7,086","113","113"
"서울특별시 중구 약수동(1114063500)","17,525","594","594","8,260","290","290","9,265","304","304","17,128","505","505","8,066","236","236","9,062","269","269","16,676","440","440","7,750","218","218","8,926","222","222"
"서울특별시 중구 청구동(1114064500)","14,297","397","397","6,791","195","195","7,506","202","202","14,056","360","360","6,668","178","178","7,388","182","182","13,588","324","324","6,438","170","170","7,150","154","154"
"서울특별시 중구 신당제5동(1114065000)","10,554","322","322","5,173","157","157","5,381","165","165","10,527","267","267","5,122","141","141","5,405","126","126","10,363","233","233","5,051","124","124","5,312","109","109"
"서울특별시 중구 동화동(1114066500)","10,830","385","385","5,210","217","217","5,620","168","168","10,656","339","339","5,143","197","197","5,513","142","142","10,266","287","287","4,956","162","162","5,310","125","125"
"서울특별시 중구 황학동(1114067000)","12,650","456","456","6,097","225","225","6,553","231","231","12,583","419","419","6,004","210","210","6,579","209","209","12,576","393","393","5,997","209","209","6,579","184","184"
"서울특별시 중구 중림동(1114068000)","12,622","610","610","6,314","310","310","6,308","300","300","12,498","581","581","6,232","283","283","6,266","298","298","12,035","531","531","5,985","264","264","6,050","267","267"
"서울특별시 용산구 (1117000000)","228,670","6,808","6,808","110,356","3,541","3,541","118,314","3,267","3,267","230,040","6,298","6,298","110,722","3,248","3,248","119,318","3,050","3,050","222,953","5,805","5,805","107,210","3,014","3,014","115,743","2,791","2,791"
"서울특별시 용산구 후암동(1117051000)","17,896","480","480","8,704","250","250","9,192","230","230","17,696","414","414","8,591","210","210","9,105","204","204","16,833","357","357","8,211","180","180","8,622","177","177"
"서울특별시 용산구 용산2가동(1117052000)","10,402","238","238","5,036","125","125","5,366","113","113","9,972","173","173","4,798","90","90","5,174","83","83","9,456","147","147","4,569","72","72","4,887","75","75"
"서울특별시 용산구 남영동(1117053000)","7,771","113","113","4,746","56","56","3,025","57","57","7,623","82","82","4,641","36","36","2,982","46","46","7,351","68","68","4,471","36","36","2,880","32","32"
"서울특별시 용산구 청파동(1117055500)","19,831","357","357","9,399","181","181","10,432","176","176","19,829","285","285","9,325","141","141","10,504","144","144","19,471","286","286","9,114","152","152","10,357","134","134"
"서울특별시 용산구 원효로제1동(1117056000)","15,991","733","733","7,728","374","374","8,263","359","359","16,089","686","686","7,748","354","354","8,341","332","332","15,950","637","637","7,582","321","321","8,368","316","316"
"서울특별시 용산구 원효로제2동(1117057000)","14,562","461","461","6,857","235","235","7,705","226","226","14,202","423","423","6,677","213","213","7,525","210","210","13,751","372","372","6,478","188","188","7,273","184","184"
"서울특별시 용산구 효창동(1117058000)","10,178","407","407","4,859","201","201","5,319","206","206","10,205","396","396","4,834","203","203","5,371","193","193","10,037","373","373","4,748","188","188","5,289","185","185"
"서울특별시 용산구 용문동(1117059000)","12,444","435","435","5,960","221","221","6,484","214","214","12,327","380","380","5,879","190","190","6,448","190","190","11,863","358","358","5,675","185","185","6,188","173","173"
"서울특별시 용산구 한강로동(1117062500)","17,990","526","526","8,683","278","278","9,307","248","248","20,444","619","619","9,858","316","316","10,586","303","303","21,763","675","675","10,334","355","355","11,429","320","320"
"서울특별시 용산구 이촌제1동(1117063000)","28,342","1,229","1,229","13,275","656","656","15,067","573","573","28,139","1,114","1,114","13,152","583","583","14,987","531","531","25,893","958","958","12,119","521","521","13,774","437","437"
"서울특별시 용산구 이촌제2동(1117064000)","8,900","322","322","4,205","169","169","4,695","153","153","8,727","322","322","4,101","159","159","4,626","163","163","8,303","285","285","3,889","134","134","4,414","151","151"
"서울특별시 용산구 이태원제1동(1117065000)","6,861","142","142","3,233","70","70","3,628","72","72","6,923","109","109","3,290","55","55","3,633","54","54","6,392","107","107","3,110","58","58","3,282","49","49"
"서울특별시 용산구 이태원제2동(1117066000)","9,254","230","230","4,287","126","126","4,967","104","104","9,285","191","191","4,276","109","109","5,009","82","82","8,997","170","170","4,137","85","85","4,860","85","85"
"서울특별시 용산구 한남동(1117068500)","20,634","588","588","9,960","317","317","10,674","271","271","21,176","597","597","10,185","322","322","10,991","275","275","20,389","549","549","9,841","294","294","10,548","255","255"
"서울특별시 용산구 서빙고동(1117069000)","13,329","314","314","6,415","156","156","6,914","158","158","13,187","288","288","6,328","146","146","6,859","142","142","13,051","276","276","6,241","142","142","6,810","134","134"
"서울특별시 용산구 보광동(1117070000)","14,285","233","233","7,009","126","126","7,276","107","107","14,216","219","219","7,039","121","121","7,177","98","98","13,453","187","187","6,691","103","103","6,762","84","84"
"서울특별시 성동구 (1120000000)","300,889","11,181","11,181","147,273","5,735","5,735","153,616","5,446","5,446","293,556","10,061","10,061","143,387","5,191","5,191","150,169","4,870","4,870","285,990","9,179","9,179","139,380","4,700","4,700","146,610","4,479","4,479"
"서울특별시 성동구 왕십리제2동(1120052000)","17,330","647","647","8,435","347","347","8,895","300","300","17,085","630","630","8,309","329","329","8,776","301","301","16,475","578","578","7,964","293","293","8,511","285","285"
"서울특별시 성동구 왕십리도선동(1120053500)","27,270","1,270","1,270","13,024","625","625","14,246","645","645","27,081","1,162","1,162","12,914","585","585","14,167","577","577","26,430","983","983","12,552","524","524","13,878","459","459"
"서울특별시 성동구 마장동(1120054000)","23,304","645","645","11,484","339","339","11,820","306","306","22,785","569","569","11,244","294","294","11,541","275","275","22,362","536","536","11,039","256","256","11,323","280","280"
"서울특별시 성동구 사근동(1120055000)","11,702","236","236","6,011","125","125","5,691","111","111","11,932","214","214","6,099","120","120","5,833","94","94","11,915","174","174","6,154","89","89","5,761","85","85"
"서울특별시 성동구 행당제1동(1120056000)","15,993","507","507","7,764","257","257","8,229","250","250","14,077","476","476","6,794","244","244","7,283","232","232","13,904","424","424","6,688","222","222","7,216","202","202"
"서울특별시 성동구 행당제2동(1120057000)","24,554","973","973","11,544","471","471","13,010","502","502","24,063","846","846","11,289","429","429","12,774","417","417","23,280","790","790","10,907","400","400","12,373","390","390"
"서울특별시 성동구 응봉동(1120058000)","16,120","538","538","7,649","260","260","8,471","278","278","15,764","510","510","7,479","253","253","8,285","257","257","15,408","483","483","7,352","254","254","8,056","229","229"
"서울특별시 성동구 금호1가동(1120059000)","15,853","723","723","7,589","387","387","8,264","336","336","15,711","654","654","7,516","349","349","8,195","305","305","15,240","602","602","7,260","310","310","7,980","292","292"
"서울특별시 성동구 금호2.3가동(1120061500)","23,964","1,109","1,109","11,408","559","559","12,556","550","550","23,409","978","978","11,157","498","498","12,252","480","480","22,735","917","917","10,824","465","465","11,911","452","452"
"서울특별시 성동구 금호4가동(1120062000)","15,078","792","792","7,233","415","415","7,845","377","377","14,704","706","706","7,032","371","371","7,672","335","335","14,325","654","654","6,803","330","330","7,522","324","324"
"서울특별시 성동구 옥수동(1120064500)","26,946","1,409","1,409","12,595","717","717","14,351","692","692","26,661","1,293","1,293","12,417","641","641","14,244","652","652","26,033","1,237","1,237","12,119","603","603","13,914","634","634"
"서울특별시 성동구 성수1가제1동(1120065000)","16,831","568","568","8,421","320","320","8,410","248","248","16,553","534","534","8,284","292","292","8,269","242","242","16,514","526","526","8,249","291","291","8,265","235","235"
"서울특별시 성동구 성수1가제2동(1120066000)","14,338","438","438","7,132","229","229","7,206","209","209","13,452","359","359","6,608","185","185","6,844","174","174","12,643","324","324","6,201","162","162","6,442","162","162"
"서울특별시 성동구 성수2가제1동(1120067000)","17,072","463","463","8,906","243","243","8,166","220","220","16,589","407","407","8,682","211","211","7,907","196","196","15,806","347","347","8,263","170","170","7,543","177","177"
"서울특별시 성동구 성수2가제3동(1120069000)","11,342","336","336","5,785","173","173","5,557","163","163","11,177","293","293","5,672","154","154","5,505","139","139","10,757","256","256","5,407","132","132","5,350","124","124"
"서울특별시 성동구 송정동(1120072000)","10,960","306","306","5,797","154","154","5,163","152","152","10,725","253","253","5,664","137","137","5,061","116","116","10,516","207","207","5,551","124","124","4,965","83","83"
"서울특별시 성동구 용답동(1120079000)","12,232","221","221","6,496","114","114","5,736","107","107","11,788","177","177","6,227","99","99","5,561","78","78","11,647","141","141","6,047","75","75","5,600","66","66"
"서울특별시 광진구 (1121500000)","351,350","9,873","9,873","170,262","5,048","5,048","181,088","4,825","4,825","346,682","8,351","8,351","167,310","4,268","4,268","179,372","4,083","4,083","339,996","7,338","7,338","164,058","3,774","3,774","175,938","3,564","3,564"
"서울특별시 광진구 화양동(1121571000)","22,057","239","239","10,496","116","116","11,561","123","123","22,658","170","170","10,734","81","81","11,924","89","89","23,138","154","154","11,037","76","76","12,101","78","78"
"서울특별시 광진구 군자동(1121573000)","19,866","464","464","9,815","243","243","10,051","221","221","19,930","394","394","9,841","196","196","10,089","198","198","19,591","340","340","9,689","171","171","9,902","169","169"
"서울특별시 광진구 중곡제1동(1121574000)","15,832","469","469","7,755","242","242","8,077","227","227","15,792","399","399","7,686","198","198","8,106","201","201","15,496","346","346","7,510","172","172","7,986","174","174"
"서울특별시 광진구 중곡제2동(1121575000)","22,225","625","625","10,645","315","315","11,580","310","310","21,943","516","516","10,394","248","248","11,549","268","268","21,428","426","426","10,105","198","198","11,323","228","228"
"서울특별시 광진구 중곡제3동(1121576000)","17,062","423","423","8,469","215","215","8,593","208","208","16,683","346","346","8,281","203","203","8,402","143","143","16,135","322","322","7,995","189","189","8,140","133","133"
"서울특별시 광진구 중곡제4동(1121577000)","30,115","886","886","14,852","474","474","15,263","412","412","29,387","688","688","14,401","365","365","14,986","323","323","28,577","604","604","13,991","322","322","14,586","282","282"
"서울특별시 광진구 능동(1121578000)","11,595","334","334","5,348","162","162","6,247","172","172","11,610","298","298","5,329","150","150","6,281","148","148","11,301","252","252","5,211","128","128","6,090","124","124"
"서울특별시 광진구 광장동(1121581000)","35,893","1,074","1,074","17,351","571","571","18,542","503","503","35,440","913","913","17,122","483","483","18,318","430","430","34,665","789","789","16,787","416","416","17,878","373","373"
"서울특별시 광진구 자양제1동(1121582000)","23,045","560","560","11,124","273","273","11,921","287","287","22,790","468","468","10,950","221","221","11,840","247","247","22,285","353","353","10,822","172","172","11,463","181","181"
"서울특별시 광진구 자양제2동(1121583000)","26,460","821","821","12,971","423","423","13,489","398","398","25,641","728","728","12,496","380","380","13,145","348","348","24,632","622","622","11,937","317","317","12,695","305","305"
"서울특별시 광진구 자양제3동(1121584000)","29,190","1,152","1,152","14,048","596","596","15,142","556","556","28,687","1,018","1,018","13,771","517","517","14,916","501","501","28,073","942","942","13,418","467","467","14,655","475","475"
"서울특별시 광진구 자양제4동(1121584700)","18,454","402","402","9,264","206","206","9,190","196","196","17,810","335","335","8,877","171","171","8,933","164","164","17,957","335","335","8,942","176","176","9,015","159","159"
"서울특별시 광진구 구의제1동(1121585000)","22,319","532","532","10,677","276","276","11,642","256","256","22,040","429","429","10,528","221","221","11,512","208","208","21,542","359","359","10,254","184","184","11,288","175","175"
"서울특별시 광진구 구의제2동(1121586000)","27,444","908","908","13,239","446","446","14,205","462","462","26,954","783","783","12,961","396","396","13,993","387","387","26,522","705","705","12,797","369","369","13,725","336","336"
"서울특별시 광진구 구의제3동(1121587000)","29,793","984","984","14,208","490","490","15,585","494","494","29,317","866","866","13,939","438","438","15,378","428","428","28,654","789","789","13,563","417","417","15,091","372","372"
"서울특별시 동대문구 (1123000000)","346,194","10,467","10,467","172,113","5,380","5,380","174,081","5,087","5,087","342,837","9,517","9,517","169,769","4,853","4,853","173,068","4,664","4,664","337,400","8,705","8,705","166,646","4,423","4,423","170,754","4,282","4,282"
"서울특별시 동대문구 용신동(1123053600)","30,608","693","693","15,717","355","355","14,891","338","338","31,190","628","628","15,822","322","322","15,368","306","306","31,619","662","662","15,897","324","324","15,722","338","338"
"서울특별시 동대문구 제기동(1123054500)","24,934","508","508","12,774","260","260","12,160","248","248","24,994","488","488","12,826","254","254","12,168","234","234","24,617","451","451","12,612","232","232","12,005","219","219"
"서울특별시 동대문구 전농제1동(1123056000)","30,538","1,019","1,019","15,365","529","529","15,173","490","490","30,204","915","915","15,170","480","480","15,034","435","435","29,198","786","786","14,627","413","413","14,571","373","373"
"서울특별시 동대문구 전농제2동(1123057000)","19,500","557","557","9,336","280","280","10,164","277","277","19,181","499","499","9,228","250","250","9,953","249","249","18,557","449","449","8,935","221","221","9,622","228","228"
"서울특별시 동대문구 답십리제1동(1123060000)","29,352","1,512","1,512","14,265","778","778","15,087","734","734","29,099","1,331","1,331","14,092","671","671","15,007","660","660","28,991","1,242","1,242","13,984","628","628","15,007","614","614"
"서울특별시 동대문구 답십리제2동(1123061000)","30,158","992","992","14,733","518","518","15,425","474","474","29,209","914","914","14,181","463","463","15,028","451","451","28,334","864","864","13,781","428","428","14,553","436","436"
"서울특별시 동대문구 장안제1동(1123065000)","38,503","1,318","1,318","19,226","697","697","19,277","621","621","38,710","1,198","1,198","19,238","638","638","19,472","560","560","38,241","1,070","1,070","18,930","562","562","19,311","508","508"
"서울특별시 동대문구 장안제2동(1123066000)","32,724","1,323","1,323","16,382","676","676","16,342","647","647","33,039","1,301","1,301","16,525","657","657","16,514","644","644","32,484","1,174","1,174","16,210","612","612","16,274","562","562"
"서울특별시 동대문구 청량리동(1123070500)","21,157","403","403","10,610","208","208","10,547","195","195","19,870","312","312","9,923","158","158","9,947","154","154","18,813","276","276","9,343","134","134","9,470","142","142"
"서울특별시 동대문구 회기동(1123071000)","10,321","209","209","4,919","102","102","5,402","107","107","10,473","162","162","5,016","86","86","5,457","76","76","10,498","136","136","5,000","69","69","5,498","67","67"
"서울특별시 동대문구 휘경제1동(1123072000)","14,542","401","401","7,228","215","215","7,314","186","186","13,631","426","426","6,590","215","215","7,041","211","211","13,927","399","399","6,633","190","190","7,294","209","209"
"서울특별시 동대문구 휘경제2동(1123073000)","24,330","623","623","12,090","325","325","12,240","298","298","24,297","509","509","12,054","262","262","12,243","247","247","24,115","435","435","12,043","240","240","12,072","195","195"
"서울특별시 동대문구 이문제1동(1123074000)","18,845","336","336","9,379","152","152","9,466","184","184","18,477","300","300","9,185","141","141","9,292","159","159","18,019","277","277","8,993","138","138","9,026","139","139"
"서울특별시 동대문구 이문제2동(1123075000)","20,682","573","573","10,089","285","285","10,593","288","288","20,463","534","534","9,919","256","256","10,544","278","278","19,987","484","484","9,658","232","232","10,329","252","252"
"서울특별시 중랑구 (1126000000)","397,015","11,768","11,768","196,959","6,087","6,087","200,056","5,681","5,681","394,702","10,531","10,531","195,165","5,434","5,434","199,537","5,097","5,097","387,350","9,422","9,422","191,112","4,799","4,799","196,238","4,623","4,623"
"서울특별시 중랑구 면목제2동(1126052000)","25,597","686","686","12,821","349","349","12,776","337","337","24,865","572","572","12,381","288","288","12,484","284","284","24,049","479","479","12,000","247","247","12,049","232","232"
"서울특별시 중랑구 면목제4동(1126054000)","19,755","569","569","9,843","308","308","9,912","261","261","18,972","475","475","9,458","244","244","9,514","231","231","19,029","445","445","9,470","237","237","9,559","208","208"
"서울특별시 중랑구 면목제5동(1126055000)","9,700","266","266","4,963","125","125","4,737","141","141","14,537","736","736","7,332","364","364","7,205","372","372","14,784","728","728","7,421","357","357","7,363","371","371"
"서울특별시 중랑구 면목본동(1126056500)","35,341","963","963","17,576","512","512","17,765","451","451","34,622","732","732","17,189","390","390","17,433","342","342","33,478","627","627","16,582","316","316","16,896","311","311"
"서울특별시 중랑구 면목제7동(1126057000)","21,872","640","640","10,923","329","329","10,949","311","311","22,386","610","610","11,223","338","338","11,163","272","272","21,756","563","563","10,934","319","319","10,822","244","244"
"서울특별시 중랑구 면목제3.8동(1126057500)","26,141","656","656","13,052","333","333","13,089","323","323","25,576","534","534","12,710","256","256","12,866","278","278","24,759","470","470","12,272","236","236","12,487","234","234"
"서울특별시 중랑구 상봉제1동(1126058000)","25,334","950","950","12,389","486","486","12,945","464","464","24,763","831","831","12,109","426","426","12,654","405","405","24,046","744","744","11,714","352","352","12,332","392","392"
"서울특별시 중랑구 상봉제2동(1126059000)","19,511","487","487","9,539","244","244","9,972","243","243","19,899","458","458","9,691","230","230","10,208","228","228","20,341","421","421","9,801","210","210","10,540","211","211"
"서울특별시 중랑구 중화제1동(1126060000)","20,726","718","718","10,207","390","390","10,519","328","328","20,224","604","604","9,905","323","323","10,319","281","281","19,611","511","511","9,624","252","252","9,987","259","259"
"서울특별시 중랑구 중화제2동(1126061000)","26,720","622","622","13,784","328","328","12,936","294","294","25,578","536","536","13,138","287","287","12,440","249","249","24,875","490","490","12,781","259","259","12,094","231","231"
"서울특별시 중랑구 묵제1동(1126062000)","35,836","1,197","1,197","17,449","606","606","18,387","591","591","35,399","979","979","17,145","484","484","18,254","495","495","34,443","784","784","16,639","377","377","17,804","407","407"
"서울특별시 중랑구 묵제2동(1126063000)","19,664","615","615","9,684","298","298","9,980","317","317","19,428","522","522","9,565","256","256","9,863","266","266","18,718","435","435","9,173","215","215","9,545","220","220"
"서울특별시 중랑구 망우본동(1126065500)","30,711","797","797","15,530","392","392","15,181","405","405","30,431","703","703","15,294","351","351","15,137","352","352","32,155","881","881","16,110","439","439","16,045","442","442"
"서울특별시 중랑구 망우제3동(1126066000)","17,574","428","428","8,859","241","241","8,715","187","187","17,127","357","357","8,597","208","208","8,530","149","149","16,359","305","305","8,204","176","176","8,155","129","129"
"서울특별시 중랑구 신내1동(1126068000)","40,717","1,445","1,445","19,893","749","749","20,824","696","696","39,681","1,269","1,269","19,317","655","655","20,364","614","614","38,512","1,069","1,069","18,652","557","557","19,860","512","512"
"서울특별시 중랑구 신내2동(1126069000)","21,816","729","729","10,447","397","397","11,369","332","332","21,214","613","613","10,111","334","334","11,103","279","279","20,435","470","470","9,735","250","250","10,700","220","220"
"서울특별시 성북구 (1129000000)","442,650","13,663","13,663","214,437","7,027","7,027","228,213","6,636","6,636","437,153","12,220","12,220","210,810","6,257","6,257","226,343","5,963","5,963","430,528","11,266","11,266","207,578","5,818","5,818","222,950","5,448","5,448"
"서울특별시 성북구 성북동(1129052500)","17,054","381","381","8,023","193","193","9,031","188","188","16,868","339","339","7,869","173","173","8,999","166","166","16,522","326","326","7,715","173","173","8,807","153","153"
"서울특별시 성북구 삼선동(1129055500)","25,337","540","540","12,142","304","304","13,195","236","236","23,580","423","423","11,238","226","226","12,342","197","197","22,871","381","381","10,915","208","208","11,956","173","173"
"서울특별시 성북구 동선동(1129057500)","15,425","285","285","6,512","140","140","8,913","145","145","15,610","253","253","6,549","130","130","9,061","123","123","15,480","200","200","6,509","97","97","8,971","103","103"
"서울특별시 성북구 돈암제1동(1129058000)","15,818","440","440","7,405","212","212","8,413","228","228","15,292","390","390","7,148","190","190","8,144","200","200","14,687","328","328","6,869","163","163","7,818","165","165"
"서울특별시 성북구 돈암제2동(1129059000)","24,928","877","877","11,931","472","472","12,997","405","405","24,589","754","754","11,691","402","402","12,898","352","352","23,825","682","682","11,285","359","359","12,540","323","323"
"서울특별시 성북구 안암동(1129060000)","15,406","263","263","7,833","138","138","7,573","125","125","15,093","195","195","7,610","97","97","7,483","98","98","14,936","190","190","7,502","98","98","7,434","92","92"
"서울특별시 성북구 보문동(1129061000)","16,281","550","550","7,881","287","287","8,400","263","263","15,768","498","498","7,616","240","240","8,152","258","258","15,416","472","472","7,449","231","231","7,967","241","241"
"서울특별시 성북구 정릉제1동(1129062000)","18,941","692","692","9,192","371","371","9,749","321","321","18,677","589","589","9,008","317","317","9,669","272","272","18,178","572","572","8,729","302","302","9,449","270","270"
"서울특별시 성북구 정릉제2동(1129063000)","23,549","755","755","11,501","376","376","12,048","379","379","23,501","694","694","11,371","332","332","12,130","362","362","23,048","614","614","11,130","302","302","11,918","312","312"
"서울특별시 성북구 정릉제3동(1129064000)","15,635","404","404","7,781","206","206","7,854","198","198","15,541","314","314","7,693","153","153","7,848","161","161","15,046","249","249","7,491","139","139","7,555","110","110"
"서울특별시 성북구 정릉제4동(1129065000)","26,391","849","849","12,807","445","445","13,584","404","404","25,609","746","746","12,380","402","402","13,229","344","344","24,873","636","636","11,992","332","332","12,881","304","304"
"서울특별시 성북구 길음제1동(1129066000)","36,881","1,587","1,587","17,577","820","820","19,304","767","767","36,402","1,406","1,406","17,323","721","721","19,079","685","685","35,462","1,183","1,183","16,848","612","612","18,614","571","571"
"서울특별시 성북구 길음제2동(1129068500)","16,486","676","676","8,011","355","355","8,475","321","321","17,051","711","711","8,252","375","375","8,799","336","336","16,653","643","643","7,977","321","321","8,676","322","322"
"서울특별시 성북구 종암동(1129070500)","40,190","1,231","1,231","19,820","607","607","20,370","624","624","39,786","1,111","1,111","19,594","556","556","20,192","555","555","38,809","974","974","19,250","497","497","19,559","477","477"
"서울특별시 성북구 월곡제1동(1129071500)","27,325","956","956","13,238","482","482","14,087","474","474","26,918","833","833","13,022","423","423","13,896","410","410","26,335","752","752","12,719","388","388","13,616","364","364"
"서울특별시 성북구 월곡제2동(1129072500)","19,947","557","557","9,654","285","285","10,293","272","272","19,928","475","475","9,586","247","247","10,342","228","228","19,442","407","407","9,355","215","215","10,087","192","192"
