"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~4세","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~4세","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~4세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~4세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~4세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~4세","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~4세","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~4세","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~4세"
"서울특별시  (1100000000)","9,729,107","300,799","300,799","4,744,059","154,742","154,742","4,985,048","146,057","146,057","9,668,465","270,481","270,481","4,701,723","139,213","139,213","4,966,742","131,268","131,268","9,509,458","244,538","244,538","4,618,040","126,059","126,059","4,891,418","118,479","118,479"
"서울특별시 종로구 (1111000000)","151,290","3,540","3,540","73,746","1,780","1,780","77,544","1,760","1,760","149,384","3,080","3,080","72,635","1,558","1,558","76,749","1,522","1,522","144,683","2,720","2,720","70,183","1,363","1,363","74,500","1,357","1,357"
"서울특별시 종로구 청운효자동(1111051500)","12,734","385","385","5,939","195","195","6,795","190","190","12,431","332","332","5,779","168","168","6,652","164","164","11,978","276","276","5,526","142","142","6,452","134","134"
"서울특별시 종로구 사직동(1111053000)","9,535","268","268","4,297","139","139","5,238","129","129","9,526","221","221","4,264","114","114","5,262","107","107","9,372","202","202","4,200","99","99","5,172","103","103"
"서울특별시 종로구 삼청동(1111054000)","2,758","48","48","1,326","21","21","1,432","27","27","2,640","37","37","1,272","15","15","1,368","22","22","2,456","37","37","1,168","15","15","1,288","22","22"
"서울특별시 종로구 부암동(1111055000)","10,100","235","235","4,826","113","113","5,274","122","122","10,022","210","210","4,772","101","101","5,250","109","109","9,579","165","165","4,570","70","70","5,009","95","95"
"서울특별시 종로구 평창동(1111056000)","18,659","498","498","8,739","259","259","9,920","239","239","18,391","480","480","8,550","255","255","9,841","225","225","18,152","454","454","8,457","237","237","9,695","217","217"
"서울특별시 종로구 무악동(1111057000)","8,695","298","298","4,060","140","140","4,635","158","158","8,546","272","272","3,979","128","128","4,567","144","144","8,259","243","243","3,841","117","117","4,418","126","126"
"서울특별시 종로구 교남동(1111058000)","10,562","469","469","4,915","236","236","5,647","233","233","10,477","394","394","4,848","203","203","5,629","191","191","10,046","367","367","4,634","170","170","5,412","197","197"
"서울특별시 종로구 가회동(1111060000)","4,383","80","80","2,026","46","46","2,357","34","34","4,325","71","71","2,000","41","41","2,325","30","30","4,088","63","63","1,884","39","39","2,204","24","24"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,227","99","99","4,300","55","55","2,927","44","44","7,256","86","86","4,352","44","44","2,904","42","42","7,197","84","84","4,251","41","41","2,946","43","43"
"서울특별시 종로구 종로5.6가동(1111063000)","5,343","63","63","2,910","34","34","2,433","29","29","5,242","54","54","2,838","25","25","2,404","29","29","5,089","35","35","2,720","17","17","2,369","18","18"
"서울특별시 종로구 이화동(1111064000)","7,847","117","117","3,698","52","52","4,149","65","65","7,588","102","102","3,567","49","49","4,021","53","53","7,231","85","85","3,419","39","39","3,812","46","46"
"서울특별시 종로구 혜화동(1111065000)","16,925","272","272","8,153","126","126","8,772","146","146","16,799","224","224","8,089","107","107","8,710","117","117","16,383","202","202","7,904","98","98","8,479","104","104"
"서울특별시 종로구 창신제1동(1111067000)","5,243","79","79","2,820","37","37","2,423","42","42","5,129","54","54","2,775","24","24","2,354","30","30","4,891","54","54","2,626","30","30","2,265","24","24"
"서울특별시 종로구 창신제2동(1111068000)","8,550","126","126","4,366","68","68","4,184","58","58","8,318","112","112","4,283","63","63","4,035","49","49","7,911","91","91","4,082","52","52","3,829","39","39"
"서울특별시 종로구 창신제3동(1111069000)","7,106","215","215","3,506","123","123","3,600","92","92","6,925","191","191","3,398","105","105","3,527","86","86","6,575","161","161","3,242","89","89","3,333","72","72"
"서울특별시 종로구 숭인제1동(1111070000)","6,189","130","130","3,044","61","61","3,145","69","69","6,078","105","105","2,960","56","56","3,118","49","49","5,837","87","87","2,811","52","52","3,026","35","35"
"서울특별시 종로구 숭인제2동(1111071000)","9,434","158","158","4,821","75","75","4,613","83","83","9,691","135","135","4,909","60","60","4,782","75","75","9,639","114","114","4,848","56","56","4,791","58","58"
"서울특별시 중구 (1114000000)","126,171","3,693","3,693","61,910","1,878","1,878","64,261","1,815","1,815","125,240","3,281","3,281","61,222","1,671","1,671","64,018","1,610","1,610","122,499","2,927","2,927","59,630","1,512","1,512","62,869","1,415","1,415"
"서울특별시 중구 소공동(1114052000)","2,050","68","68","1,000","39","39","1,050","29","29","2,069","59","59","1,027","40","40","1,042","19","19","2,250","70","70","1,077","41","41","1,173","29","29"
"서울특별시 중구 회현동(1114054000)","5,245","96","96","2,837","55","55","2,408","41","41","5,136","76","76","2,720","43","43","2,416","33","33","4,784","65","65","2,488","35","35","2,296","30","30"
